ETC_20150317_000001	Kepa
ETC_20150317_000258	Its body vanishes if you stay away from it for a long time.
ETC_20150317_000259	Old Hook
ETC_20150317_000260	It used its hook on a large monster to come over from the demon realm, and has underwent a lot of change.
ETC_20150317_000261	Stumpy Tree
ETC_20150317_000262	Even though there are less logging activities, the monsters that originated from the stumps continue to show up. They appear to be formed out of the residues of Plant-type monsters.
ETC_20150317_000263	Catacomb Gravegolem
ETC_20150317_000264	Root Mole
ETC_20150317_000265	Poiming
ETC_20150317_000266	Root of the Tree Mole
ETC_20150317_000267	Eye of Mirtis
ETC_20150317_000268	Eye of Great Mirtis
ETC_20150317_000269	Stone
ETC_20150317_000270	Vubbe Extermination Bomb
ETC_20150317_000271	Time Bomb (score dungeon only)
ETC_20150317_000272	Time Bomb
ETC_20150317_000273	OBB stone
ETC_20150317_000274	Male Wizard
ETC_20150317_000275	Female Wizard
ETC_20150317_000276	Damaged Seal
ETC_20150317_000277	Symbol of Sin
ETC_20150317_000278	(Temporary) Prison Control Device
ETC_20150317_000279	Collapsed Guard
ETC_20150317_000280	Mercenary
ETC_20150317_000281	Ghost Soldier
ETC_20150317_000282	Deserter
ETC_20150317_000283	Lunatic Soldier
ETC_20150317_000284	Tied Combatant
ETC_20150317_000285	Mercenary Officer
ETC_20150317_000286	Condottiere
ETC_20150317_000287	Shield Mercenary
ETC_20150317_000288	Ghost Armor
ETC_20150317_000289	Large Ghost Armor
ETC_20150317_000290	Follower Ghost
ETC_20150317_000291	Boy Ghost
ETC_20150317_000292	Madam Ghost
ETC_20150317_000293	Ghost Uncle
ETC_20150317_000294	Follower Ghost Leader
ETC_20150317_000295	Follower Ghost (Alter Ego)
ETC_20150317_000296	Three-Eyed Horn
ETC_20150317_000297	Three-Eyed Wing
ETC_20150317_000298	Follower
ETC_20150317_000299	Heavy Infantry Zombie
ETC_20150317_000300	Magic Book
ETC_20150317_000301	Unripe Pumpkin
ETC_20150317_000302	Well Die Onion
ETC_20150317_000303	Large HP Onion
ETC_20150317_000304	Amber Target
ETC_20150317_000305	Stake Stockades
ETC_20150317_000306	Defense Guardian
ETC_20150317_000307	Babauzi
ETC_20150317_000308	Nachi Zombie
ETC_20150317_000309	Zombie Berserker
ETC_20150317_000310	Candle Zombie
ETC_20150317_000311	Zombie Shooter
ETC_20150317_000312	Wheelchair Zombie
ETC_20150317_000313	High Vubbe Archer
ETC_20150317_000314	Desmodus
ETC_20150317_000315	A popular theory is that you have to be a demon to use this messenger.
ETC_20150317_000316	Treasure Vubbe
ETC_20150317_000317	Vubbe Thief
ETC_20150317_000318	The most commonly encountered Vubbe.
ETC_20150317_000319	Red Vubbe Robber
ETC_20150317_000320	Over time these Vubbes have become diverse and distinguishable.
ETC_20150317_000321	Blue Vubbe Thief
ETC_20150317_000322	Vubbe Miner
ETC_20150317_000323	It is hard to determine whether their mining roles are permanent since little is known about the Vubbes' social system.
ETC_20150317_000324	Red Vubbe Miner
ETC_20150317_000325	Blue Vubbe Miner
ETC_20150317_000326	Large Vubbe Miner
ETC_20150317_000327	Vubbe Archer
ETC_20150317_000328	Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.
ETC_20150317_000329	Red Vubbe archer
ETC_20150317_000330	It is possible to collect and use the bows and arrows that the Vubbes made.
ETC_20150317_000331	Fine Observation
ETC_20150317_000332	Eye
ETC_20150317_000333	Prison Guard
ETC_20150317_000334	Paladin Follower A1
ETC_20150317_000335	Paladin Follower A2
ETC_20150317_000336	Paladin Follower A3
ETC_20150317_000337	Explosion Mine
ETC_20150317_000338	Toxic Mine
ETC_20150317_000339	Antipersonnel Mines
ETC_20150317_000340	Hell Mine
ETC_20150317_000341	Villager
ETC_20150317_000342	Baby Angel Statue
ETC_20150317_000343	Hall Statue
ETC_20150317_000344	Hidden Trigger Monster Type
ETC_20150317_000345	Owl Sculpture
ETC_20150317_000346	Transparent Object
ETC_20150317_000347	Fire Ball
ETC_20150317_000348	Armed Tortoise Shell Large
ETC_20150317_000349	Armed Tortoise Shell
ETC_20150317_000350	Male Apostate (3D)
ETC_20150317_000351	Female Apostate (3D)
ETC_20150317_000352	Modification
ETC_20150317_000353	Abomination
ETC_20150317_000354	High Vubbe Fighter
ETC_20150317_000355	Monster Wizard
ETC_20150317_000356	Battery (temporary)
ETC_20150317_000357	Block of Ice
ETC_20150317_000358	Pillar of Ice
ETC_20150317_000359	Bonfire
ETC_20150317_000360	Mine
ETC_20150317_000361	Pavise
ETC_20150317_000362	Subzero Shield
ETC_20150317_000363	Dice
ETC_20150317_000364	Catapult
ETC_20150317_000365	Thicket of Butterfly
ETC_20150317_000366	Bramble Bush
ETC_20150317_000367	Sword Pell
ETC_20150317_000368	Bait
ETC_20150317_000369	Hit object
ETC_20150317_000370	Long-Branched Tree
ETC_20150317_000371	A shrub monster that attacks by either firing its twigs or striking with its branches.
ETC_20150317_000372	Rocktor
ETC_20150317_000373	Venucelos
ETC_20150317_000374	According to legend this watchdog is a creation that Zachariel the Great had planned to preserve.
ETC_20150317_000375	Cemetery Golem
ETC_20150317_000376	Kepa Chieftain
ETC_20150317_000377	Poata
ETC_20150317_000378	Deadborn
ETC_20150317_000379	Salamander
ETC_20150317_000380	Saltistter
ETC_20150317_000381	Ginklas
ETC_20150317_000382	Stone Whale
ETC_20150317_000383	Tutu
ETC_20150317_000384	Yonazolem
ETC_20150317_000385	Master Genie
ETC_20150317_000386	Biteregina
ETC_20150317_000387	Iltiswort
ETC_20150317_000388	Giant Red Wood Goblin
ETC_20150317_000389	Lepus
ETC_20150317_000390	Mushcaria
ETC_20150317_000391	Chafer
ETC_20150317_000392	Gaigalas
ETC_20150317_000393	Throneweaver
ETC_20150317_000394	Bebraspion
ETC_20150317_000395	Soggy Mushwort
ETC_20150317_000396	Sparnas
ETC_20150317_000397	Mineloader
ETC_20150317_000398	Rajatoad
ETC_20150317_000399	Shadowgaler
ETC_20150317_000400	Helgasercle
ETC_20150317_000401	Necroventer
ETC_20150317_000402	Wriggling Lutopus
ETC_20150317_000403	Linkroller
ETC_20150317_000404	Rocktortuga
ETC_20150317_000405	Yekub
ETC_20150317_000406	Poisonous Rytaswort
ETC_20150317_000407	Ravinepede
ETC_20150317_000408	Netherbovine
ETC_20150317_000409	Wild Carnivore
ETC_20150317_000410	Tomb Lord
ETC_20150317_000411	Achat
ETC_20150317_000412	Shnayim
ETC_20150317_000413	Honeypin
ETC_20150317_000414	Rajapearl
ETC_20150317_000415	Cyclops
ETC_20150317_000416	Archon
ETC_20150317_000417	Carapace
ETC_20150317_000418	Werewolf
ETC_20150317_000419	Tini
ETC_20150317_000420	Due to its cute appearance many people have tried to win over Tini's heart, but none were successful.
ETC_20150317_000421	Tree Ambulo
ETC_20150317_000422	Tree Ambulo is different from the typical monsters that originated from the demon realm as it is not a deformity between creatures and things.
ETC_20150317_000423	Golemlet
ETC_20150317_000424	Vubbesqua
ETC_20150317_000425	Spion
ETC_20150317_000426	It's well-trained to follow its owner's every command. Unfortunately, its owner is usually a demon.
ETC_20150317_000427	Mirtislampa
ETC_20150317_000428	Spekull
ETC_20150317_000429	Scap
ETC_20150317_000430	Shredded
ETC_20150317_000431	Shredded is a demon monster that was derived from the by-product that results when you transform a monster into a powerful ghost.
ETC_20150317_000432	Yekubite
ETC_20150317_000433	Yekub unleashes its infamous cry in the demon realm, which produces many minions and spreads them around the world. Yekubite is the name given to these minions.
ETC_20150317_000434	Shardstatue
ETC_20150317_000435	A possessed demonic monster obsessed with the divine Goddess Statues.
ETC_20150317_000436	Deadborn Scap
ETC_20150317_000437	Cire
ETC_20150317_000438	This monster does not seem to transmute from typical plants but rather from rotten flora. However, there are no evidence to support this conclusion.
ETC_20150317_000439	Ritasfung
ETC_20150317_000440	Tisfung
ETC_20150317_000441	Mushpung
ETC_20150317_000442	Treegool
ETC_20150317_000443	Upon transforming into a monster with a hardened wood body and no leaves, Treegool supplants its former photosynthetic diet with hunting.
ETC_20150317_000444	Cyst
ETC_20150317_000445	Ammon
ETC_20150317_000446	Existing since ancient times, Ammon has harmed countless people and monsters.
ETC_20150317_000447	Operor
ETC_20150317_000448	While it has maintained its original form, Operor has developed severely aggressive and violent behavior.
ETC_20150317_000449	Chafperor
ETC_20150317_000450	A severely mutated bee and beetle hybrid with qualities of both, it operates in swarms.
ETC_20150317_000451	Ravinelarva
ETC_20150317_000452	Before it was revealed to be a mutated plant, it was speculated to be a monster's larva.
ETC_20150317_000453	Nethercalf
ETC_20150317_000454	Infrogalas
ETC_20150317_000455	Carnivorefung
ETC_20150317_000456	Vesper
ETC_20150317_000457	Animals living in the Royal Mausoleum have been deformed in recent years by the influence of the evil energy.
ETC_20150317_000458	Karas
ETC_20150317_000459	It is a magic creature whose name comes from the wishes of a golem species.
ETC_20150317_000460	Echad
ETC_20150317_000461	A magical creature created to protect the Royal Mausoleum. Despite being weak, it is strong enough to resist the goddess' powers.
ETC_20150317_000462	Shtayim
ETC_20150317_000463	Despite its appearance, this magical creation has received the blessing of the goddess. Can deal critical damage to demons.
ETC_20150317_000464	Tombsinker
ETC_20150317_000465	Many creatures have been placed in the Royal Mausoleum, including the Tombsinker, to guard against intruding demons.
ETC_20150317_000466	Graztas
ETC_20150317_000467	Abogust
ETC_20150317_000468	Weaver
ETC_20150317_000469	There are rumors saying the Weaver is looking for thread made of stone.
ETC_20150317_000470	Hallowventer
ETC_20150317_000471	Please do not look directly into their hoods.
ETC_20150317_000472	Meleech
ETC_20150317_000473	Firm and toxic, their blood-sucking ability is unique.
ETC_20150317_000474	Infro Salamander
ETC_20150317_000475	Zolem
ETC_20150317_000476	Unlike traditional Golems, Zolem move by a mysterious aura, not magic.
ETC_20150317_000477	Kepa Raider
ETC_20150317_000478	Although a Kepa by name, it actually comes from the demon realm.
ETC_20150317_000479	Mushcarfung
ETC_20150317_000480	Wood Goblin
ETC_20150317_000481	An evil goblin summoned by the Vubbes. It sometimes appear even in areas where Vubbes are not found.
ETC_20150317_000482	Red Wood Goblin
ETC_20150317_000483	Templeslave
ETC_20150317_000484	Ringring
ETC_20150317_000485	Woodin
ETC_20150317_000486	Stone Orca
ETC_20150317_000487	A mutant monster that looks like a dolphin. Its other features correspond to a small Stone Whale.
ETC_20150317_000488	Rajapearlite
ETC_20150317_000489	Drape
ETC_20150317_000490	Although a clyra type because of its sharp tail, this monster seems to have transformed from a pumpkin.
ETC_20150317_000491	Infroholder
ETC_20150317_000492	As demons become more populous, new varieties of them appear. Infroholder is one of these new types of demon.
ETC_20150317_000493	Lepusbunny
ETC_20150317_000494	In the past this animal was quite friendly towards humans, but now it's even more dangerous than a bear.
ETC_20150317_000495	Nuwort
ETC_20150317_000496	Beadbird
ETC_20150317_000497	Minos
ETC_20150317_000498	Armori
ETC_20150317_000499	The Armori are dullahans whose armors are stained by evil energy.
ETC_20150317_000500	Mine Lever
ETC_20150317_000501	Shadowgaler_summon
ETC_20150317_000502	Hound
ETC_20150317_000503	Is that another tail hanging on its back?
ETC_20150317_000504	Stoulet
ETC_20150317_000505	A demon that respects the strong and is cruel to the weak. Nonetheless, its aggression trivializes this characteristic.
ETC_20150317_000506	Rajatadpole
ETC_20150317_000507	Cuticle
ETC_20150317_000508	Infroburk
ETC_20150317_000509	It is uncertain which monster Infroburk resembles, but it certainly is ferocious.
ETC_20150317_000510	Mandara Soldier
ETC_20150317_000511	Night Maid
ETC_20150317_000512	Worg
ETC_20150317_000513	Saltisdaughter
ETC_20150317_000514	Prison Fighter
ETC_20150317_000515	They kill their fellow demons out of boredom.
ETC_20150317_000516	Greentoshell
ETC_20150317_000517	Sparnicht
ETC_20150317_000518	Infrorocktor
ETC_20150317_000519	A small monster that is part turtle and part mineral. It prefers living in solitude rather than in a group.
ETC_20150317_000520	Catacombs Maggot
ETC_20150317_000521	Maggot Egg
ETC_20150317_000522	Green Maggot
ETC_20150317_000523	Yellow Maggot
ETC_20150317_000524	Green Maggot Egg
ETC_20150317_000525	Yellow Maggot Egg
ETC_20150317_000526	Cactusvel
ETC_20150317_000527	Kirmeleech
ETC_20150317_000528	Magburk
ETC_20150317_000529	Drapeliun
ETC_20150317_000530	Sparnashorn
ETC_20150317_000531	Ironbaum
ETC_20150317_000532	Vubbe Chaser
ETC_20150317_000533	Glass Mole
ETC_20150317_000534	Denoptic
ETC_20150317_000535	Sparnasman
ETC_20150317_000536	Tomb Maiden
ETC_20150317_000537	Unknocker
ETC_20150317_000538	Mummyghast
ETC_20150317_000539	Kubas
ETC_20150317_000540	Grinender
ETC_20150317_000541	Pyroego
ETC_20150317_000542	Gorgon
ETC_20150317_000543	Lithorex
ETC_20150317_000544	Moa
ETC_20150317_000545	Scorpio
ETC_20150317_000546	Deathweaver
ETC_20150317_000547	Templeshooter
ETC_20150317_000548	Chapparition
ETC_20150317_000549	Minotaur
ETC_20150317_000550	Cerberus
ETC_20150317_000551	Cursed Devilglove
ETC_20150317_000552	Giant Wood Goblin
ETC_20150317_000553	Helgasercle's Reflection
ETC_20150317_000554	Hori Wizard
ETC_20150317_000555	Vubbe Warrior
ETC_20150317_000556	Summoned Minion
ETC_20150317_000557	Scarecrow
ETC_20150317_000558	Aukuras
ETC_20150317_000559	High Vubbe
ETC_20150317_000560	Caltrop
ETC_20150317_000561	Torch
ETC_20150317_000562	Crystal Spider
ETC_20150317_000563	Because of its appearance, novice miners often try to mine the crystal on the spider's back and are attacked.
ETC_20150317_000564	Swarm of Bees
ETC_20150317_000565	Caltrop
ETC_20150317_000566	Filibo
ETC_20150317_000567	Those who see Filibo as a small and cute critter will quickly be injured by it.
ETC_20150317_000568	Holy Water Bottle
ETC_20150317_000569	Bramble Event
ETC_20150317_000570	Chain
ETC_20150317_000571	Hyde box
ETC_20150317_000572	Bat
ETC_20150317_000573	Acting as Mirtis' scout minion, these bats once lived throughout the world but have grown into a large threat despite of their small bodies.
ETC_20150317_000574	Field Ginklas
ETC_20150317_000575	Field Netherbovine
ETC_20150317_000576	Fatal Biteregina
ETC_20150317_000577	Nureongi
ETC_20150317_000578	Speck
ETC_20150317_000579	White Spots
ETC_20150317_000580	Dog
ETC_20150317_000581	Anvil
ETC_20150317_000582	Hogma Warrior
ETC_20150317_000583	Although the Hogmas are smarter than the Vubbes and can use tools, their brutish instincts stifle any progress and lead to many stupid mistakes.
ETC_20150317_000584	Hogma Archer
ETC_20150317_000585	Levelheaded Hogmas are often seen taking the role of archers.
ETC_20150317_000586	Hogma Shaman
ETC_20150317_000587	Some Hogmas have picked up abilities through experience but they still have Hogma instincts.
ETC_20150317_000588	Ellom
ETC_20150317_000589	It is said that they receive their powers from human souls because they gather toward the injured.
ETC_20150317_000590	Green Ellom
ETC_20150317_000591	This type of Ellom is toxic.
ETC_20150317_000592	Yellow Ellom
ETC_20150317_000593	Merog Shaman
ETC_20150317_000594	Merog variant. Slight differences in the mutation process differentiates the variety of Merogs.
ETC_20150317_000595	Merog Stinger
ETC_20150317_000596	This reptile monster attacks instinctively but shows as much abilities as its intelligence.
ETC_20150317_000597	Hogma Captain
ETC_20150317_000598	A Hogma whose intelligence and instinct give them leadership in the fight against humans.
ETC_20150317_000599	Chupaluka
