SKILL_20150317_000001	공격
SKILL_20150317_000082	[투구벌레]일반공격2
SKILL_20150317_000083	[비카라스 메이지] 매직, 매직, 화속성, 1회 공격
SKILL_20150317_000084	[비카라스 메이지] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000085	[비카라스] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000086	[비카라스] 물리, 베기, 화속성, 1회 바닥 내려치기
SKILL_20150317_000087	[변이 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000088	[지누테] 한손으로 타격
SKILL_20150317_000089	[지누테] 양손으로 박수치기
SKILL_20150317_000090	[지누테] 바닥을 내려치기
SKILL_20150317_000091	[라우지누테] 물리, 찌르기, 화속성 1회 공격
SKILL_20150317_000092	[라우지누테] 물리, 찌르기, 화속성 회전 공격
SKILL_20150317_000093	[단델] 물리 찌르기 뇌속성 1회 공격
SKILL_20150317_000094	[러스라트] 물리, 베기, 뇌속성 2회 공격
SKILL_20150317_000095	[러스라트] 물리, 베기, 뇌속성 1회 공격
SKILL_20150317_000096	[메다키아] 물리, 베기, 암속성 1회 공격
SKILL_20150317_000097	[메다키아] 매직, 매직, 암속성 1회 공격
SKILL_20150317_000098	[메다키아] 바닥을 내려치기
SKILL_20150317_000099	[휠렌] 양손으로 박수치기
SKILL_20150317_000100	[마우로스] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000101	[마우로스] 물리, 타격, 암속성 1회 내려치기 공격
SKILL_20150317_000102	[사우가] 물리 타격 땅속성 1회 공격
SKILL_20150317_000103	[사우가] 물리, 타격, 땅속성 바닥을 내려치기
SKILL_20150317_000104	호박 일반 공격.
SKILL_20150317_000105	공격2
SKILL_20150317_000106	호박 일반 공격2.
SKILL_20150317_000107	[사우르맨 사제] 일반 공격.
SKILL_20150317_000108	스킬
SKILL_20150317_000109	[사우르맨 사제] 스킬.
SKILL_20150317_000110	사우르맨 일반 공격.
SKILL_20150317_000111	사우르맨 일반 공격2.
SKILL_20150317_000112	소년 유령 일반 공격.
SKILL_20150317_000113	소년 유령 스킬.
SKILL_20150317_000114	아저씨 유령 일반 공격.
SKILL_20150317_000115	아저씨 유령 스킬.
SKILL_20150317_000116	고블엘리트 일반 공격.
SKILL_20150317_000117	고블엘리트 일반 공격2.
SKILL_20150317_000118	나사 좀비 일반 공격.
SKILL_20150317_000119	나사 좀비 일반 공격2.
SKILL_20150317_000120	광전사 좀비 일반 공격.
SKILL_20150317_000121	양초 좀비 일반 공격.
SKILL_20150317_000122	좀비 궁수 일반 공격.
SKILL_20150317_000123	[하이 부베] 물리, 베기, 수속성, 1회 일반 공격
SKILL_20150317_000124	[하이 부베 궁수] 원거리, 찌르기, 수속성, 1회 일반 공격
SKILL_20150317_000125	소녀 유령 일반 공격.
SKILL_20150317_000126	소녀 유령 스킬.
SKILL_20150317_000127	아줌마 유령 일반 공격.
SKILL_20150317_000128	아줌마 유령 스킬.
SKILL_20150317_000129	미르티스눈알 일반 공격.
SKILL_20150317_000130	미르티스눈알 일반 공격2.
SKILL_20150317_000131	스펙터여 엘리트 일반 공격.
SKILL_20150317_000132	스펙터여 엘리트 일반 공격2.
SKILL_20150317_000133	[치넨시] 물리, 타격, 땅속성, 1타 전방 돌려치기
SKILL_20150317_000134	[포포리온] 물리, 타격, 땅속성, 1타 전방 머리로 내려치기
SKILL_20150317_000135	[포포리온] 물리, 타격, 땅속성, 1타 전방 음파 날리기
SKILL_20150317_000136	[원거리 치넨시] 일반 공격, 전방 미사일
SKILL_20150317_000137	[원거리 치넨시] 스킬1, 전방 미사일, 넉백 유발
SKILL_20150317_000138	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 머리 박치기
SKILL_20150317_000139	[츄파카브라] 물리, 타격, 땅속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000140	[츄파카브라] 츄파 일반 공격3
SKILL_20150317_000141	[츄파카브라] 츄파 일반 공격4
SKILL_20150317_000142	스펙터여 일반 공격.
SKILL_20150317_000143	우드스피릿 일반 공격.
SKILL_20150317_000144	우드스피릿 일반 공격2.
SKILL_20150317_000145	간수 일반 공격.
SKILL_20150317_000146	간수 일반 공격2.
SKILL_20150317_000147	대폭발
SKILL_20150317_000148	대폭발(Defence)
SKILL_20150317_000149	일방향터렛 일반 공격.
SKILL_20150317_000150	[리디메드] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000151	고블린 파이터 공격.
SKILL_20150317_000152	가시덤불 일반 공격.
SKILL_20150317_000153	[전투병] 전투원 공격
SKILL_20150317_000154	[전투병] 전투원 공격2
SKILL_20150317_000155	좀비 궁수 스킬.
SKILL_20150317_000156	휠체어 좀비 일반 공격.
SKILL_20150317_000157	휠체어 좀비 스킬.
SKILL_20150317_000158	화염의 벽
SKILL_20150317_000159	화염의 벽을 생성하여 닿는 적에게 피해를 입힙니다.
SKILL_20150317_000160	지뢰 폭발
SKILL_20150317_000161	폭발 지뢰의 폭발.
SKILL_20150317_000162	맹독 폭발
SKILL_20150317_000163	맹독 지뢰의 폭발.
SKILL_20150317_000164	크레모아 폭발
SKILL_20150317_000165	크레모아 폭발.
SKILL_20150317_000166	점프공격
SKILL_20150317_000167	생명의 흐름
SKILL_20150317_000168	생명의 흐름 힐.
SKILL_20150317_000169	빙하 쐐기
SKILL_20150317_000170	빙하 쐐기 2연타 이후.
SKILL_20150317_000171	씨앗 폭발
SKILL_20150317_000172	씨앗 폭발.
SKILL_20150317_000173	살불 폭발
SKILL_20150317_000174	살불 폭발.
SKILL_20150317_000175	눈보라
SKILL_20150317_000176	유성 강타
SKILL_20150317_000177	일반 공격
SKILL_20150317_000178	내려찍기
SKILL_20150317_000179	수직으로 내려쳐서 전방의 적들에게 피해를 입히며 밀쳐냅니다.
SKILL_20150317_000180	미사일공격
SKILL_20150317_000181	AOS터렛 공격
SKILL_20150317_000182	[우드맨] 공격
SKILL_20150317_000183	샐러맨더 공격
SKILL_20150317_000184	[부베 광부] 물리, 베기, 땅속성, 1타 전방 곡괭이 휘두르기
SKILL_20150317_000185	홀 석상 공격
SKILL_20150317_000186	홀 석상 스킬
SKILL_20150317_000187	사제 공격 1
SKILL_20150317_000188	사제 스킬 1
SKILL_20150317_000189	[초록 어패리션] 매직, 매직, 뇌속성, 1회 공격
SKILL_20150317_000190	석상 공격 1
SKILL_20150317_000191	[부베약탈자] 물리, 베기, 땅속성, 1타 전방 창으로 휘두르기
SKILL_20150317_000192	[부베약탈자] 물리, 찌르기 , 땅속성  아리에스 스킬
SKILL_20150317_000193	[사우르맨 창병] 일반 공격.
SKILL_20150317_000194	[사우르맨 창병] 일반 공격2.
SKILL_20150317_000195	[부베 궁수] 원거리, 찌르기, 땅속성, 1타 전방 화살공격
SKILL_20150317_000196	[포쿠부] 물리, 타격, 땅속성, 1타 전방 밑에서 위로 뿔로 올려치기
SKILL_20150317_000197	[누덕고치] 매직, 마법, 독속성, 1타 전방 독 뿌리기 공격
SKILL_20150317_000198	[누덕고치] 원거리, 매직 , 독속성, 1타 전방 원거리 독 포스 공격
SKILL_20150317_000199	[사우르맨 도끼병] 일반 공격.
SKILL_20150317_000200	[사우르맨 도끼병] 일반 공격2.
SKILL_20150317_000201	힐
SKILL_20150317_000202	몬스터 힐
SKILL_20150317_000203	부베 광부 공격
SKILL_20150317_000204	[난폭해진 포쿠부] 일반 공격.
SKILL_20150317_000205	경비병 일반 공격.
SKILL_20150317_000206	경비병 일반 공격2.
SKILL_20150317_000207	경비병 일반 공격3.
SKILL_20150317_000208	[양초거미] 물리, 타격, 암속성, 1타 전방 다리 하나로 공격
SKILL_20150317_000209	[양초거미] 물리, 타격, 암속성, 1타 전방 몸톰 박치기
SKILL_20150317_000210	[양초거미] 물리, 타격, 암속성, 1타 전방 점프하여 두다리로 내려치기
SKILL_20150317_000211	[날개 개구리] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000212	[날개 개구리] 물리, 타격, 독속성, 2회 독뿌리기 공격
SKILL_20150317_000213	[날개 개구리] 물리, 타격, 암속성, 1회 박치기 넉백 공격
SKILL_20150317_000214	[검은 잎방개] 물리, 타격, 암속성, 1타 전방 몸통박치기
SKILL_20150317_000215	[검은 잎방개] 물리, 타격, 암속성, 1타 달라붙어서 물어뜯기
SKILL_20150317_000216	[검은 잎방개] 물리, 타격, 암속성, 1타 전방 점프 공격
SKILL_20150317_000217	[묘지골렘] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000218	[드레이크] 물리, 베기, 화속성, 1회 공격
SKILL_20150317_000219	[드레이크] 매직, 매직, 화속성, 1회 화염 뿜어내기 공격
SKILL_20150317_000220	[빅 코카트리스] 물리, 찌르기, 화속성, 2회 공격
SKILL_20150317_000221	[빅 코카트리스] 매직, 찌르기, 화속성, 1회 날아가며 박치기 공격
SKILL_20150317_000222	[빅 코카트리스]
SKILL_20150317_000223	[판토 주술사] 물리 일반 타격
SKILL_20150317_000224	[판토 주술사] 매직 뇌속성 타격
SKILL_20150317_000225	[판토 주술사] 매직 뇌속성 매직
SKILL_20150317_000226	[판토 마법사] 물리 일반 타격
SKILL_20150317_000227	[판토 마법사] 매직 뇌속성 타격
SKILL_20150317_000228	[판토 마법사] 매직 뇌속성 매직
SKILL_20150317_000229	[모야] 물리, 타격, 뇌속성 1회 공격
SKILL_20150317_000230	[모야부] 물리, 타격, 뇌속성 1회 공격
SKILL_20150317_000231	[바본] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000232	[타누] 물리 독속성 베기
SKILL_20150317_000233	[지그너츠] 물리 독속성 타격
SKILL_20150317_000234	[지그너츠] 물리 일반 베기
SKILL_20150317_000235	[모글란] 물리, 찌르기, 뇌속성 1회 공격
SKILL_20150317_000236	[모글란] 물리, 찌르기, 뇌속성 회전 2회 공격
SKILL_20150317_000237	[덴덴] 물리, 떄리기, 암속성 1회 공격
SKILL_20150317_000238	[덴덴] 원거리, 매직, 암속성 1회 포격
SKILL_20150317_000239	[도요르] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000240	[도요르] 매직 리플렉트쉴드 매직
SKILL_20150317_000241	[티피오] 물리 일반 타격
SKILL_20150317_000242	[티피오] 매직 독속성 매직
SKILL_20150317_000243	[론도] 물리, 찌르기, 땅속성 1회 공격
SKILL_20150317_000244	[긴팔 나무] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000245	[테라임프] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000246	[베누켈로스] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000247	[베누켈로스] 물리, 타격, 땅속성, 3회 공격
SKILL_20150317_000248	[묘지 골렘] 물리, 타격, 무속성, 1회 공격
SKILL_20150317_000249	[묘지 골렘] 물리, 타격, 무속성, 1회 내려치기 공격
SKILL_20150317_000250	[묘지 골렘] 물리, 타격, 무속성, 몬스터 주위로 공격
SKILL_20150317_000251	[휠렌] 물리, 찌르기, 뇌속성 1회 찌르기 공격
SKILL_20150317_000252	[휠렌] 물리, 찌르기, 뇌속성 회전하면서 2회 공격
SKILL_20150317_000253	[휠렌] 물리, 찌르기, 뇌속성 1회 강한 찌르기 공격
SKILL_20150317_000254	[락터] 물리, 타격, 무속성, 1타 전방 몸통 박치기
SKILL_20150317_000255	[카로] 물리, 베기, 독속성, 2회 공격
SKILL_20150317_000256	[부베 투사] 1회 , 물리, 타격, 땅속성
SKILL_20150317_000257	[붉은 케파] 1회 물리,떄리기, 화속성
SKILL_20150317_000258	[티니] 물리, 베기, 뇌속성, 2회 공격
SKILL_20150317_000259	[트리암불로] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000260	[스피온] 물리, 타격, 독속성, 2회 공격
SKILL_20150317_000261	[박쥐] 물리, 타격, 암속성, 1타 전방 양쪽 날개로 동시에 타격
SKILL_20150317_000262	[쉬레디드] 매직, 매직, 암속성, 1타 전방 암속성 포스 날리기
SKILL_20150317_000263	[에큐바이트] 물리, 타격, 수속성, 1타 전방 머리로 내려치기
SKILL_20150317_000264	[샤드스태튜] 물리, 찌르기, 뇌속성, 1회 날개치기
SKILL_20150317_000265	[사이어] 물리, 타격, 뇌속성, 1회 공격
SKILL_20150317_000266	[트리굴] 물리, 떄리기, 암속성, 1회 공격
SKILL_20150317_000267	[암몬] 물리, 베기, 땅속성 1회 공격
SKILL_20150317_000268	[오페러] 물리, 찌르기, 독속성, 1타 벌침 찌르기 공격
SKILL_20150317_000269	[체이퍼러] 물리, 찌르기, 독속성, 1타 전방 찌르기
SKILL_20150317_000270	[러바인러바] 원거리, 매직, 독속성, 1회 공격
SKILL_20150317_000271	[베스퍼] 물리, 타격, 암속성, 1회 꼬리치기
SKILL_20150317_000272	[카라스] 물리, 베기, 암속성, 1회 공격
SKILL_20150317_000273	[에하드] 물리, 떄리기, 땅속성, 1회 공격
SKILL_20150317_000274	[쉬타임] 물리, 떄리기, 땅속성, 1회 공격
SKILL_20150317_000275	[툼싱커] 물리, 찌르기, 암속성, 1회 공격
SKILL_20150317_000276	[위버] 물리, 떄리기, 땅속성, 1타 전방 연기 뿌리기
SKILL_20150317_000277	[할로우벤터] 매직, 매직, 암속성, 1회 공격
SKILL_20150317_000278	[인프로락터] 물리, 타격, 땅속성, 1타 전방 한손으로 타격
SKILL_20150317_000279	[멜리치] 물리, 베기, 독속성, 1회 공격
SKILL_20150317_000280	[인프로버크] 물리, 타격, 화속성, 1회 공격
SKILL_20150317_000281	[졸렘] 물리, 타격, 땅속성, 1회 공격
SKILL_20150317_000282	[케파레이더] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000283	[머슈카펑] 물리, 떄리기, 암속성, 1타 전방 몸통 공격
SKILL_20150317_000284	[우드맨] 물리, 베기, 암속성, 1회 공격
SKILL_20150317_000285	[우드고블린] 물리, 타격, 뇌속성, 1회 공격
SKILL_20150317_000286	[스톤오르카] 물리, 타격, 수속성, 1타 전방 꼬리로 올려치기
SKILL_20150317_000287	[스톤오르카] 매직, 블락 상향 버프 , 매직 
SKILL_20150317_000288	[드레이프] 물리, 찌르기, 독속성 1회 공격
SKILL_20150317_000289	[인프로홀더] 물리, 타격, 화속성, 1회 공격
SKILL_20150317_000290	[레푸스버니] 물리, 베기, 수속성, 1회 공격
SKILL_20150317_000291	[아모리] 물리, 타격, 화속성 1회 공격
SKILL_20150317_000292	[하운드] 물리, 찌르기, 암속성 1회 공격
SKILL_20150317_000293	[스타울리트] 물리, 타격, 암속성 1회 공격
SKILL_20150317_000294	[뇌옥투사] 물리, 베기, 암속성 1회 공격
SKILL_20150317_000295	[카로] 물리, 베기, 독속성, 1회 공격
SKILL_20150317_000296	[마고트] 물리, 타격, 암속성, 1타 전방 몸통으로 내려치기
SKILL_20150317_000297	[부베 추격꾼] 물리, 찌르기, 암속성, 2회 찌르기 공격
SKILL_20150317_000298	[붉은 미듀쟈] 매직, 매직, 불속성, 1회 공격
SKILL_20150317_000299	[헬가세르클 분신체] 마법 암속성 매직
SKILL_20150317_000300	[플리보] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000301	[엘룸] 물리, 타격, 뇌속성, 1회 연기 뿜기 공격
SKILL_20150317_000302	[엘룸] 물리, 타격, 뇌속성, 1회 내려치기 공격
SKILL_20150317_000303	[호그마 전사] 물리 베기 화속성 1회 공격
SKILL_20150317_000304	[호그마 궁수] 원거리 찌르기 전기속성 1회 공격
SKILL_20150317_000305	[호그마 주술사] 매직, 매직, 화속성 1회 공격
SKILL_20150317_000306	[메로그 주술사] 매직, 매직, 수속성, 1타 전방 원거리 포스 날리기 공격
SKILL_20150317_000307	[메로그 독침술사] 원거리, 찌르기, 독속성, 1타 전방 독침 발사
SKILL_20150317_000308	[호그마 주술사] 매직, 매직,  화속성 파이어월 공격
SKILL_20150317_000309	[메로그 주술사] 매직, 떄리기, 수속성, 1타 전방 지팡이로 떄리기
SKILL_20150317_000310	[호그마 전사] 물리 타격 화속성 방패 넉백 공격
SKILL_20150317_000311	[호그마 전사] 버프, 매직 화속성 블럭 확률 증가
SKILL_20150317_000312	[메로그 독침술사] 원거리, 찌르기, 독속성, 3타 뛰어올라 전방 독침 발사
SKILL_20150317_000313	[호그마 전투대장] 물리 베기 암속성 1회 공격
SKILL_20150317_000314	[호그마 전투대장] 물리 찌르기 암속성 1회 공격
SKILL_20150317_000315	[호그마 전투대장] 몬스터 소환
SKILL_20150317_000316	[리자드맨] 물리, 타격, 뇌속성, 1회 공격
SKILL_20150317_000317	[츄파루카] 물리, 떄리기, 암속성 1회 공격
SKILL_20150317_000318	[엘로마고] 물리, 찌르기, 뇌속성, 1회 공격
SKILL_20150317_000319	[엘로구아] 물리, 찌르기, 뇌속성 1회 공격
SKILL_20150317_000320	[엘로구아] 원거리, 매직, 뇌속성 1회 포격
SKILL_20150317_000321	[웬디고] 물리 베기 화속성 1회 공격
SKILL_20150317_000322	[리자드맨] 물리, 타격, 뇌속성, 달려오면서 1회 박치기 공격
SKILL_20150317_000323	[케파리] 매직, 매직, 화속성 1회 공격 화염 디버프
SKILL_20150317_000324	[코도모르] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000325	[코왁] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000326	[그롤] 물리, 찌르기, 독속성, 1타 전방 독연기 뿌리기
SKILL_20150317_000327	[그롤] 물리, 찌르기, 독속성, 1타 전방 뿔 지르기 공격
SKILL_20150317_000328	[츄파카브라] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000329	[타마] 물리, 타격, 땅속성 1회 공격
SKILL_20150317_000330	[메다키아] 매직, 베기, 암속성 1회 공격
SKILL_20150317_000331	[레무르] 물리, 베기, 수속성 1회 공격
SKILL_20150317_000332	[호그마 전투병] 물리 베기 전기속성 1회 공격
SKILL_20150317_000333	[호그마 파수꾼] 물리 타격 수속성 1회 공격
SKILL_20150317_000334	[몽당 나무] 물리, 타격, 땅속성 1회 한손 공격
SKILL_20150317_000335	[몽당 나무] 매직, 매직, 힐 장판
SKILL_20150317_000336	[몽당 나무] 물리, 타격, 땅속성 3회 몸통 공격
SKILL_20150317_000337	[누덕 갈고리] 물리, 베기, 땅속성, 1회 공격
SKILL_20150317_000338	[누덕 갈고리] 물리, 베기, 땅속성, 1회 내려치기 공격
SKILL_20150317_000339	[누덕 갈고리] 물리, 베기, 땅속성, 1회 돌려치기 공격
SKILL_20150317_000340	[바브] 물리, 타격, 독속성, 1회 공격
SKILL_20150317_000341	[피라콘] 매직, 매직, 화속성, 화염 포격 3회 공격
SKILL_20150317_000342	[피라콘] 물리, 타격, 화속성, 1회 공격
SKILL_20150317_000343	[피라콘] 매직, 매직, 화속성, 불 뿜어내기 2회 공격
SKILL_20150317_000344	[붉은 누덕 갈고리] 물리, 베기, 화속성, 1회 돌려치기 공격
SKILL_20150317_000345	[붉은 누덕 갈고리] 물리, 베기, 화속성, 1회 내려치기 공격
SKILL_20150317_000346	[아르마] 물리, 찌르기, 화속성, 1회 공격
SKILL_20150317_000347	[아르마] 물리, 찌르기, 화속성, 돌진하면서 2회 공격
SKILL_20150317_000348	[플라스크] 물리, 타격, 화속성, 1회 공격
SKILL_20150317_000349	[검은 주술 인형] 물리, 찌르기, 암속성, 1회 공격
SKILL_20150317_000350	[디머] 물리, 떄리기, 화속성, 1회 공격
SKILL_20150317_000351	[디머] 물리, 떄리기, 화속성, 2회 공격
SKILL_20150317_000352	[위자드 주술 인형] 물리, 타격, 암속성, 1회 공격
SKILL_20150317_000353	[위자드 주술 인형] 물리, 타격, 암속성, 회전하면서 3회 공격
SKILL_20150317_000354	[세콰이아의 불길] 매직, 매직, 화속성, 1회 공격
SKILL_20150317_000355	[라플라워] 물리, 찌르기, 독속성, 1타 전방 촉수로 후려치기
SKILL_20150317_000356	[라플라워] 물리, 찌르기, 독속성, 1타 전방 촉수로 내려치기
SKILL_20150317_000357	[부베 마법사] 매직, 매직, 화속성, 1타 전방 에너지볼트 날리기
SKILL_20150317_000358	[부베 마법사] 매직, 매직, 화속성, 리플렉트 실드 버프
SKILL_20150317_000359	[부베 화염 마법사] 매직, 매직, 화속성, 원거리 화이어볼 공격
SKILL_20150317_000360	[부베 화염 마법사] 매직, 매직, 화속성, 파이어필라 공격
SKILL_20150317_000361	[부베 얼음 마법사] 매직, 매직, 수속성, 원거리 아이스볼트 공격
SKILL_20150317_000362	[부베 얼음 마법사] 매직, 매직, 수속성, 리프리져웨이브 공격
SKILL_20150317_000363	[부베 주술사] 매직, 매직, 암속성, 힐 장판 스킬
SKILL_20150317_000364	[부베 주술사] 매직, 매직, 암속성, 장판 스킬
SKILL_20150317_000365	[쉬레디드] 매직, 매직, 암속성, 1타 전방 pc위치로 텔레포트하여 공격
SKILL_20150317_000366	[리프넛] 물리, 타격, 독속성 1회 공격
SKILL_20150317_000367	[판토] 물리, 타격, 땅속성, 2회 공격
SKILL_20150317_000368	[판토] 물리, 타격, 땅속성, 연속 6회 공격
SKILL_20150317_000369	[판토] 매직, 이속버프, 매직,
SKILL_20150317_000370	[판토 전사] 물리, 베기, 땅속성, 1회 공격
SKILL_20150317_000371	[얼타눈] 물리 찌르기 독속성 1회 공격
SKILL_20150317_000372	[얼타눈] 매직 독속성 매직
