QUEST_LV_0400_20161005_000001	Kedora Alliance Merchant Alta
QUEST_LV_0400_20161005_000098	{nl}We are apprentices of Maven.{nl}We are rewriting the misinformation that has been spread about the Ruklys incident on this Monument.
QUEST_LV_0400_20161005_000099	{nl}These were almost destroyed because of the actions for King Kadumel.{nl}However, King Barynwell decided to cast magic on them to make them unreadable instead.
QUEST_LV_0400_20161005_000100	{nl}We are preparing to undo the magic and make the corrections.{nl}The monsters are stopping us from doing anything though.
QUEST_LV_0400_20161005_000101	We will gladly accept any help you can offer us.
QUEST_LV_0400_20161005_000102	{nl}First of all, we need to find the documents.{nl}These documents contain instructions on how to dispell transfiguration magic, but they've been scattered due to monster attacks.
QUEST_LV_0400_20161005_000103	{nl}We were careful in making any further moves since we don't want to provoke any more monster attacks.
QUEST_LV_0400_20161005_000104	{nl}Please try looking at Othorove Lot first.
QUEST_LV_0400_20161005_000105	We need those documents to dispell the magic and correct the information on this Monument.
QUEST_LV_0400_20161005_000106	I see that they've all been scattered like this.{nl}Thank you for gathering all of the pages.
QUEST_LV_0400_20161005_000107	{nl}Now...
QUEST_LV_0400_20161005_000108	We'll have to find an orb in order to dispell the magic.{nl}The orb will quickly be depleted so we also had a recharging orb.
QUEST_LV_0400_20161005_000109	The orb will absorb the energy from the recharging orb.{nl}Therefore, you should be able to find where the orb is if you carry this around with you.
QUEST_LV_0400_20161005_000110	The recharging orb will emmit magic when activated.{nl}The magic will go towards the orb since it will try to absorb it and will glow when it does so.
QUEST_LV_0400_20161005_000111	{nl}All you have to do is to find the orb.
QUEST_LV_0400_20161005_000112	Magic will come out of the recharging orb when it is activated.{nl}You'll be able to find the orb if you follow it.
QUEST_LV_0400_20161005_000113	Oh, thank you so much!{nl}Now that we have the orbs...
QUEST_LV_0400_20161005_000114	We have finished all of the preparations required to dispel the magic on King Kadumel's Monument.
QUEST_LV_0400_20161005_000115	You've dealt with the Gosal?{nl}I can't believe that you took that thing on single handed when the three of us...
QUEST_LV_0400_20161005_000116	{nl}You don't seem to be just another traveler for some reason...
QUEST_LV_0400_20161005_000117	Whatever the case may be, the Gosal is gone, so we'll be able to go there.{nl}We'll have to check Tarkha Lot to see what the object is.
QUEST_LV_0400_20161005_000118	This thing that looks like a tree is actually an monument.{nl}This is all because of the spell.
QUEST_LV_0400_20161005_000119	{nl}We'll dispell it with the orb you've recovered for us.
QUEST_LV_0400_20161005_000120	The monument has now returned to it's original shape.{nl}We'll now find any pieces of misinformation and correct them.
QUEST_LV_0400_20161005_000121	We've finished correcting this one, so we'll have to search for other monuments.
QUEST_LV_0400_20161005_000122	{nl}Please, follow me.
QUEST_LV_0400_20161005_000123	Here it is.{nl}I will dispell the magic that is cast on the monument.
QUEST_LV_0400_20161005_000124	I think that the spores from this bracken have caused the paralysis.{nl}I can't dispell the magic in this state.
QUEST_LV_0400_20161005_000125	{nl}We'll have to wait for me to be able to move again.
QUEST_LV_0400_20161005_000126	{nl}You can find Mittelly Herbs near Ausne Lot.{nl}Mittelly Herbs are known to cure such issues.
QUEST_LV_0400_20161005_000127	There should be plenty of Mittelly Herbs near Ausne Lot.
QUEST_LV_0400_20161005_000128	{nl}I'm sorry for being so dependant when you simply volunteered to help...
QUEST_LV_0400_20161005_000129	There are people that have started to deny the existance of the Goddesses after they have all disappeared.{nl}I want to help them believe once more.
QUEST_LV_0400_20161005_000130	{nl}However...{nl}I lost my faith in people... as well as the Seed...{nl}{nl}
QUEST_LV_0400_20161005_000131	At this rate...{nl}I am afraid that I might lose all faith in humanity...{nl}Not a good thing for a priest...
QUEST_LV_0400_20161005_000132	Ah, that feels much better.{nl}I don't think it has completely healed me, but it is enough to allow me to dispell the magic.
QUEST_LV_0400_20161005_000133	All Vaivora's Koru is able to tell us is that Goddess Ausrine is in a mysterious place.
QUEST_LV_0400_20161005_000134	What do you think that the mysterious place will look like?{nl}We have more questions than answers...
QUEST_LV_0400_20161005_000135	Goddess Lada is said to be at Seir Rainforest.{nl}The closest place is most likely Arcus Forest.
QUEST_LV_0400_20161005_000136	I suppose I'll be able to meet her if I go to Seir Rainforest?
QUEST_LV_0400_20161005_000137	Will you be so kind as to remove the bracken from the Monument?{nl}I'll be paralyzed once more if you don't do so.
QUEST_LV_0400_20161005_000138	{nl}I doubt it will burn because of all the humidity in this area.{nl}Maybe using the dry skin of the Vilkas would be enough to light a proper fire.
QUEST_LV_0400_20161005_000139	If the plague rears it's ugly head once more the people of Kiren Province won't stand a chance.
QUEST_LV_0400_20161005_000140	I never even imagined that there would be bracken with paralyzing spores.{nl}Thank you so much for helping me out.
QUEST_LV_0400_20161005_000141	{nl}However... I can't imagine that you are just a simple traveler.
QUEST_LV_0400_20161005_000142	I see that all the bracken has burned.{nl}I'll dispell the magic on the Monument.
QUEST_LV_0400_20161005_000143	Hmm... I've checked the Monument, but it seems as if this one doesn't need to be corrected.
QUEST_LV_0400_20161005_000144	Ah, you have gathered quite a lot.{nl}I'm sure that they'll burn nicely even in this humidity.
QUEST_LV_0400_20161005_000145	The paralysis doesn't seem to be getting any better.{nl}What should I do...?
QUEST_LV_0400_20161005_000146	Thank you so much.{nl}I'll give you the detector that had allowed me to find the Monuments.{nl}All you need to do is to use it near an object you think might be a Monument.
QUEST_LV_0400_20161005_000147	Use the detector near anything you think might be a Monument.{nl}The detector will let you know it's a Monument by creating a circle around it.
QUEST_LV_0400_20161005_000148	You've found a Monument.{nl}I think I am well enough to move now, so let's head over there.
QUEST_LV_0400_20161005_000149	I've dispelled the magic and checked what is written on the Monument.{nl}However, it is hard to see what is on it since it has been badly damaged.
QUEST_LV_0400_20161005_000150	There might be fragments nearby.{nl}Could you please check the surrounding area?
QUEST_LV_0400_20161005_000151	There should be fragments from the Monument nearby.
QUEST_LV_0400_20161005_000152	Ah, I see that you've collected quite a few fragments.{nl}Let me check those.
QUEST_LV_0400_20161005_000153	I've checked all of the fragments you brought back.{nl}There's a few that have misinformation on them, so please give me a second to correct them.
QUEST_LV_0400_20161005_000154	Priest Kidas
QUEST_LV_0400_20161005_000155	Have you come all this way to help?{nl}May you be blessed by the Goddesses.
QUEST_LV_0400_20161005_000156	{nl}Checking the contents of this Monument will be difficult.{nl}As you can see, there are too many vines surrounding it.
QUEST_LV_0400_20161005_000157	{nl}Brunas and myself were trying to get rid of the vegetation here, but we couldn't find any useful materials.
QUEST_LV_0400_20161005_000158	{nl}We'd like to use Vilkas salivary glands since they have strong abrasive properties, but getting them is a problem since they won't just give them to us.
QUEST_LV_0400_20161005_000159	Getting them to give us the salivary glands is quite hard...{nl}We'll have to wait for them to become weak after attacking them.
QUEST_LV_0400_20161005_000160	{nl}You will have to feed them Mytiharyn Grass when they're weakened. This will make them salivate abrasive saliva.{nl}You will have to finish them off now and get the salivary glands.
QUEST_LV_0400_20161005_000161	Of course, they might attack you and resist eating the Mytiharyn Grass, so please be careful.
QUEST_LV_0400_20161005_000162	The salivary glands you brought should be enough.{nl}However...
QUEST_LV_0400_20161005_000163	We need water to dilute the poison from the salivary glands you brought.{nl}Brunas went to Putas Lot to get the water, but hasn't come back for a while...
QUEST_LV_0400_20161005_000164	I hope everything is okay...
QUEST_LV_0400_20161005_000165	Priest Brunas
QUEST_LV_0400_20161005_000166	Thank you. You saved my life.{nl}Ah, you've collected all of the salivary glands needed?
QUEST_LV_0400_20161005_000167	{nl}We'll be able to get rid of the vegetation once I take this water there then.{nl}I'll hurry back to Kidas then.
QUEST_LV_0400_20161005_000168	I've heard that you helped Kidas and Brunas a lot.{nl}Thank you for allowing us to finish our work. It had been stalled for a long time.
QUEST_LV_0400_20161005_000169	{nl}I knew I was right in thinking you're not just a normal traveler.
QUEST_LV_0400_20161005_000170	{nl}Whomever you may really be, may you be blessed by the Goddesses.
QUEST_LV_0400_20161005_000171	We are planning on publishing a book with the corrections made to these Monuments in order to allow more people to know about the truth.
QUEST_LV_0400_20161005_000172	{nl}Please make sure to take a look at the book if you have a chance to do so.{nl}Thank you for all the helped you gave us.
QUEST_LV_0400_20161005_000173	This is an area where a plague that caused fevers in people before leading them to their death.{nl}It's a bit quiet at the moment, but we don't know when it'll become worse again.
QUEST_LV_0400_20161005_000174	{nl}I'm in the middle of researching that plague.
QUEST_LV_0400_20161005_000175	I might die before I get anywhere near completing a cure if you don't help me.
QUEST_LV_0400_20161005_000176	I am going to send the cure to the Plague Doctor Master when it is complete.{nl}I will try strengthening it just in case.
QUEST_LV_0400_20161005_000177	Go and see how Woognis is doing at the Vilkas Nest.
QUEST_LV_0400_20161005_000178	Something must have happened to Priest Lintas who was dispelling the magic from the monument. Approach him to see what is wrong.
QUEST_LV_0400_20161005_000179	Kidas has removed the vegetation from the Monument and is taking a closer look.{nl}It seems to be taking much longer than expected.
QUEST_LV_0400_20161005_000180	You've come back.{nl}I heard that you saved Brunas from monsters.
QUEST_LV_0400_20161005_000181	{nl}I thank you for helping us gather all of the ingredients and saving Brunas.{nl}We finished diluting the poison while you were coming back.
QUEST_LV_0400_20161005_000182	{nl}We'll correct any misinformation on the Monument after removing the vegetation.
QUEST_LV_0400_20161005_000183	There was misinformation on the Monument, so we corrected it.{nl}We're going to go back and report to Lintas about our success here.
QUEST_LV_0400_20161005_000184	{nl}Thank you for helping us.
QUEST_LV_0400_20161005_000185	I am grateful to all of my apprentices who followed me all the way here.
QUEST_LV_0400_20161005_000186	I feel sorry that I haven't been able to teach them properly because of my mistakes and poor decisions.
QUEST_LV_0400_20161005_000187	I followed him to learn archery, not about shrubs.
QUEST_LV_0400_20161005_000188	Here I am ripping weeds out instead of at the archery range.{nl}I am seriously considering just going back home.
QUEST_LV_0400_20161005_000189	I told him that I don't want to pick at weeds anymore and he told me to wait here.{nl}I hope he won't tell me to go and gather leaves next.
QUEST_LV_0400_20161005_000190	I feel like I'll forget how to lose how to hold a bow.{nl}I should go and ask him to teach me archery instead of how to get rid of weeds.
QUEST_LV_0400_20161005_000191	I always picked on Jenonhas because of his direct way of communication.{nl}It seems like that we won't have to pick any more weeds thanks to him though.
QUEST_LV_0400_20161005_000192	They say that a person called Ignas became the leader of the Astral Tower because of a mistake he made.{nl}What sort of mistake gets the leader of the Astral Tower changed?
QUEST_LV_0400_20161005_000193	We followed him because we wished to learn archery.{nl}However, all he is doing is trying to find the Flechette.
QUEST_LV_0400_20161005_000194	It is pretty much impossible to find an arrow in this large area.
QUEST_LV_0400_20161005_000195	Jenonhas and Aquilas have a lot of resentment at the moment.{nl}Of course, Aquilas would rather keep his complaints under wraps.
QUEST_LV_0400_20161005_000196	Jenonhas on the other hand, is much more direct and forthcoming.{nl}I'm actually sort of amazed that he didn't say anything up to this point.
QUEST_LV_0400_20161005_000197	Jenonhas and Aquilas are as tired out as I am with this fruitless search.
QUEST_LV_0400_20161005_000198	There was a time when I asked him about what mistake he made to buy the wrath of the Astral Tower members.{nl}He didn't answer me at the time and looked into the distance while sighing.
QUEST_LV_0400_20161005_000199	It is said that Lydia Schaffen had defeated the Demon King Ziburynas in this forest with the Flechette.{nl}However, Lydia Schaffen hadn't retrieved that fantastic arrow after that feat.
QUEST_LV_0400_20161005_000200	{nl}Why didn't Lydia Schaffen retrieve her arrow?
QUEST_LV_0400_20161005_000201	I tried my best to find the Flechette thinking that it would help him recover his honor.{nl}However, I was threatened by monsters and demons the whole time.
QUEST_LV_0400_20161005_000202	{nl}I thought that I might lose my life while trying to regain his honor.{nl}That's why I went to talk about the current situation.
QUEST_LV_0400_20161005_000203	{nl}I don't care if this will reflect poorly on me.{nl}It is better than watching my colleagues die trying to find an arrow.
QUEST_LV_0400_20161005_000204	I don't understand the Astral Tower's reaction to him either.{nl}Of course, I don't know what his mistake was but...
QUEST_LV_0400_20161005_000205	{nl}They are said to have gone through a lot together...{nl}I think that the members of the Astral Tower should forgive him now...
QUEST_LV_0400_20161005_000206	How sad do you think a Master would be if one of his apprentices lost their honor.{nl}Maven must have been extremely sad watching on as Ruklys lost his honor.
QUEST_LV_0400_20161005_000207	I am going to continue Maven's work by letting the people know the truth about Ruklys.
QUEST_LV_0400_20161005_000208	I will correct the misunderstandings that have been plaguing the Kingdom since King Kadumel's time.
QUEST_LV_0400_20161005_000209	This must be done no matter how hard it is to make people take another look at Ruklys.
QUEST_LV_0400_20161005_000210	Rewriting the history regarding Ruklys is needed in order to correct the misinformation that is included in our history.
QUEST_LV_0400_20161005_000211	Kidas and myself would have done our part once we check and correct this Monument.
QUEST_LV_0400_20161005_000212	We will correct the misinformation about Ruklys by correcting this Monument.
QUEST_LV_0400_20161005_000213	Ohla
QUEST_LV_0400_20161005_000214	Hello there!{nl}Have you seen my daughter by any chance?
QUEST_LV_0400_20161005_000215	{nl}She has twin-tails and is wearing a hood.{nl}Her name's Liel.
QUEST_LV_0400_20161005_000216	{nl}She disappeared without saying anything...{nl}I thought she had gone to a friend's house and checked there but there was no trace of her there.
QUEST_LV_0400_20161005_000217	{nl}I think she may have gone out of the Refugee Camp.{nl}I've tried asking people to help, but nobody seem to be willing to help me.
QUEST_LV_0400_20161005_000218	{nl}I know that it's asking a lot with the monsters threatening everyone but...{nl}I've come out since I was so worried but there doesn't seem to be anything I can do.
QUEST_LV_0400_20161005_000219	If there was anywhere I thought she might be, I would have gone there already...{nl}I guess we should try looking for places nearby.
QUEST_LV_0400_20161005_000220	{nl}Could you please try looking at Preivhengikas Felled Area?{nl}Where could she have gone with all of these monsters crawling around...{nl}
QUEST_LV_0400_20161005_000221	She's my only daughter and family since I lost my husband during Medzio Diena.{nl}She's all I have in this world now.
QUEST_LV_0400_20161005_000222	{nl}Please, find Liel for me...{nl}Please...
QUEST_LV_0400_20161005_000223	I don't know what my mother is thinking...{nl}Not even knowing that I left to get her some wool so she won't catch any more colds...
QUEST_LV_0400_20161005_000224	{nl}The fact that I couldn't do anything for her and that she had to go to...{nl}I am so sorry...
QUEST_LV_0400_20161005_000225	Thank the Goddess...{nl}I already don't know how to repay you for saving my daughter...
QUEST_LV_0400_20161005_000226	{nl}But you're offering to even get the wool...{nl}I don't know how I am to repay you for your generousity...
QUEST_LV_0400_20161005_000227	There's an insect called the White Tree Forest Moth...{nl}It's cacoons are known to be around here.
QUEST_LV_0400_20161005_000228	{nl}Liel used to go and gather them to use as silk.{nl}I don't know where she hears these things...
QUEST_LV_0400_20161005_000229	{nl}I know she's my daughter, but isn't she resourceful?
QUEST_LV_0400_20161005_000230	I'm just sorry that I can't offer her more.
QUEST_LV_0400_20161005_000231	We're searching this area for a Flechette.
QUEST_LV_0400_20161005_000232	I think that this should be enough to stitch the tent back up.{nl}Thank you so much for helping me.
QUEST_LV_0400_20161005_000233	Curtis
QUEST_LV_0400_20161005_000234	Ah, you must be the person who saved that girl, Liel.{nl}The way you simply dealed with the monsters that several young men weren't able to tackle...
QUEST_LV_0400_20161005_000235	{nl}Ah, look at me... I've forgetten to introduce myself.{nl}My name's Curtis.
QUEST_LV_0400_20161005_000236	{nl}I'm just another refugee who lost his family and home during Medzio Diena and is trying to get by.{nl}I don't think that coming here helped matters at all.
QUEST_LV_0400_20161005_000237	{nl}It's difficult getting things that are needed for basic survival.{nl}That means there are more conflicts between the refugees as well as theives...
QUEST_LV_0400_20161005_000238	{nl}We've tried to make some rules and set up defences against the monsters that keep attacking us but...
QUEST_LV_0400_20161005_000239	We were in dire need of help.{nl}If you're capable of saving Liel, I'm sure you're more than able to help us a bit more!
QUEST_LV_0400_20161005_000240	{nl}I know we might seem a tad ungrateful, but please...
QUEST_LV_0400_20161005_000241	{nl}There are many who haven't had a proper meal for a long time.{nl}We've lost the farmland that we took so much care of...
QUEST_LV_0400_20161005_000242	{nl}We need something to settle that hunger more than anything.{nl}Could you please get us some Flowlevi head flower?
QUEST_LV_0400_20161005_000243	{nl}When dried the seeds come out.{nl}We can cook them
QUEST_LV_0400_20161005_000244	The monsters in this area are a bit more fierce since they are all starving.{nl}Please don't try to bite off more than you can chew and just run if you think it's a bit too much.
QUEST_LV_0400_20161005_000245	Many people will have full stomaches today thanks to the food you've brought back.{nl}Thank you.
QUEST_LV_0400_20161005_000246	Monsters have been attacking us much more frequently.{nl}That's why we've put up those walls and distributed any weapons we could find to the young men.
QUEST_LV_0400_20161005_000247	{nl}The walls keep the monsters at bay, but we're worried that they aren't strong enough.{nl}They seem to break whenever monsters decide to start rampaging.
QUEST_LV_0400_20161005_000248	{nl}We're repairing them with wood each time.{nl}What I'm saying is that we use a lot of wood just repairing the walls.
QUEST_LV_0400_20161005_000249	Go to Saughus Lot with the tools I gave you.{nl}You'll be able to get a lot of good materials there.
QUEST_LV_0400_20161005_000250	{nl}After gathering some wood there, you'll be able to make some repair kits for the walls.
QUEST_LV_0400_20161005_000251	The problem was that the walls were weak since nobody had any knowledge on how to make them.{nl}They break down every time monsters decide to attack us.
QUEST_LV_0400_20161005_000252	{nl}That's why we have to keep repairing them every day.{nl}Of course that means we need a lot of wood as well.
QUEST_LV_0400_20161005_000253	This should be enough for one repair session.
QUEST_LV_0400_20161005_000254	I'll distribute the wood you've gathered to allow the repairs to start.
QUEST_LV_0400_20161005_000255	I know we've asked a lot, but please...{nl}All you need to do is to repair the wall in front of you.
QUEST_LV_0400_20161005_000256	The rest will be repaired by the other people.
QUEST_LV_0400_20161005_000257	We could have scraped by and repaired the walls but...{nl}I had no idea that you would help us so generously.
QUEST_LV_0400_20161005_000258	Mishekan Forest is extremely cold at night.{nl}You'll catch frostbites if you don't wrap up tightly enough at night.
QUEST_LV_0400_20161005_000259	{nl}That's why we need a lot of clothes or covers that use Flowlon leathers.{nl}Of course it isn't easy for us to deal with the monsters in the first place...{nl}
QUEST_LV_0400_20161005_000260	This place is cold enough at night to make you shiver non-stop.
QUEST_LV_0400_20161005_000261	I think this will be enough for all the people here.
