QUEST_LV_0100_20150317_000001	경계병
QUEST_LV_0100_20150317_000041	여신께서 이미 예견하신 것이다.{nl}모든 존재는 예지에서 벗어날 수 없다.
QUEST_LV_0100_20150317_000042	연락관 닐스
QUEST_LV_0100_20150317_000043	안녕하십니까.{nl}혹시 길을 잃은 듯한 어르신을 본 적이 있습니까?{nl}성함은 요나스님이고요.{nl}
QUEST_LV_0100_20150317_000044	보지 못하셨다고요.{nl}정신도 오락가락하신 분이 어딜 가신걸까.
QUEST_LV_0100_20150317_000045	요나스님은 이 왕릉을 대대로 모시던 가문의 후손이십니다.{nl}저희 연구진에게 있어 중요한 분이니 꼭 부탁하겠습니다.
QUEST_LV_0100_20150317_000046	기록관 요나스
QUEST_LV_0100_20150317_000047	우리 가문은 자네를 아주 오랫동안 기다려 왔어.{nl}이제 우리 가문이 지켜온 것을 내어 줄 때가 온 게지.
QUEST_LV_0100_20150317_000048	요나스님께서 정신을 차리셨다니 정말 다행입니다. {nl}봉화를 올린 분은 당신이지요? {nl}
QUEST_LV_0100_20150317_000049	봉화를 보고 아힐라스님이 오셨습니다.{nl}아래쪽으로 가셔서 만나 보시지요.
QUEST_LV_0100_20150317_000050	케펙님께 지원품을 보냈는데 소식이 끊긴 지 오래입니다.{nl}수색 인력이 부족하니 부디 힘을 빌렸으면 합니다.
QUEST_LV_0100_20150317_000051	사학자 비어드
QUEST_LV_0100_20150317_000052	언제나 몬스터의 습격에 대비하는 것이 좋네.{nl}특히나 이런 야외에선 말이지.
QUEST_LV_0100_20150317_000053	용병 미르타
QUEST_LV_0100_20150317_000054	제가 경고했잖습니까?{nl}다음부턴 조심하십시오.
QUEST_LV_0100_20150317_000055	사학자 케펙
QUEST_LV_0100_20150317_000056	보나마나 닐스가 보냈겠지.{nl}뭐, 급하다면 직접 기록해다가 닐스에게 갖다 주던가.
QUEST_LV_0100_20150317_000057	오른쪽 길을 따라 다리를 건너가면 자카리엘 대왕의 유물이 있어.{nl}그걸 기록해서 닐스에게 갖다 주면 닐스도 납득하겠지.
QUEST_LV_0100_20150317_000058	이건 케펙님의 보고서.. 용병 미르타님도 찾으셨다고요. {nl}두 분의 안전만 확인된다면야. 수고하셨습니다.
QUEST_LV_0100_20150317_000059	아힐라스 요나스
QUEST_LV_0100_20150317_000060	이제 그 봉인 해제석을 가지고 부러진 기둥 협곡으로 가십시오.{nl}구스타스의 제자가 그 곳의 봉인을 푸는 방법을 차례대로 알려 줄 것입니다.
QUEST_LV_0100_20150317_000061	아직 안내 받지 못하셨나요?{nl}부러진 기둥 협곡에 있는 구스타스의 제자 입니다.{nl}오직 선택받은 이를 들여보내기 위해 만든 것이니까요.
QUEST_LV_0100_20150317_000062	구스타스의 제자
QUEST_LV_0100_20150317_000063	파가사 절벽의 봉인을 푸셨습니까?{nl}이제부터가 시작입니다.
QUEST_LV_0100_20150317_000064	바위에 새겨진 문구
QUEST_LV_0100_20150317_000065	건드리거나 밀지 마시오.
QUEST_LV_0100_20150317_000066	기다리고 있었습니다.{nl}다음 봉인은 무너진 성소로 가는 길에 있어요.
QUEST_LV_0100_20150317_000067	저희가 이 순간을 얼마나 기다려 왔는지 모르실 겁니다.{nl}정말 뵙고싶었어요.
QUEST_LV_0100_20150317_000068	구스타스 요나스
QUEST_LV_0100_20150317_000069	자네로군. {nl}상상했던 것보다 아주 늠름하군 그래.
QUEST_LV_0100_20150317_000070	병사 알란
QUEST_LV_0100_20150317_000071	신병이지? 신병이구나.{nl}나에게 정찰 임무가 내려왔는데 네가 대신 가야겠다.
QUEST_LV_0100_20150317_000072	신병인데 꽤 하는구나.{nl}뭔가 끔찍한 기억이 떠올라서 거긴 가고싶지 않아.
QUEST_LV_0100_20150317_000073	뭔가 기억이 날 것도 같은데..
QUEST_LV_0100_20150317_000074	우린 이 숲에 나타난 가이갈라스를 처치하기 위해 파견된 부대라는건 알지?{nl}신병. 이 보고서를 지휘관 월리스님께 가져다주겠어?
QUEST_LV_0100_20150317_000075	지휘관 월리스
QUEST_LV_0100_20150317_000076	알란은 안오고 왜 자네가 정찰 보고서를 들고 오는 건가?{nl}신병인가?
QUEST_LV_0100_20150317_000077	가이갈라스를 잡아야 집에 돌아갈텐데.{nl}아, 그냥 빨리 집에 가고 싶다.
QUEST_LV_0100_20150317_000078	월리스님은 새발자국 삼거리에 계셔.
QUEST_LV_0100_20150317_000079	누가 뭐라 해도 자넨 신병이야.{nl}명령이다. 케파레이더의 즙을 가져오게.
QUEST_LV_0100_20150317_000080	요즘 녀석들은 배짱이 없어. {nl}자네같은 신병이 좋은 기폭제가 되었으면 좋겠군.
QUEST_LV_0100_20150317_000081	이번 전투는 무조건 우리의 승리일게 분명해.{nl}왜냐고? 부엉이들이 돕겠다고 했거든.
QUEST_LV_0100_20150317_000082	케파레이더는 이아너티스 폭포 근처에 있다.{nl}가이갈라스를 공략하려면 그게 꼭 필요해.
QUEST_LV_0100_20150317_000083	병사 와이즈
QUEST_LV_0100_20150317_000084	신병이 지금 놀고있는 건가?{nl}렝바스 정원의 더키에게서 기름을 구해와.
QUEST_LV_0100_20150317_000085	더키 기름으로 가이갈라스를 유인할 거다.{nl}신병, 놀지 마라.
QUEST_LV_0100_20150317_000086	오늘이 가이갈라스의 마지막 날이 될 거다.{nl}신병, 준비 됬나?
QUEST_LV_0100_20150317_000087	다음은 렝바스 정원에 사는 크로뉴트의 가죽이다.{nl}빨리 움직여, 신병.
QUEST_LV_0100_20150317_000088	이번엔 반드시 승리할거야.{nl}여신께서 우릴 도우고 계신 게 틀림없으니까.
QUEST_LV_0100_20150317_000089	신병치곤 훌륭하군.{nl}지금은 어수선하니 그 재료들은 일단 자네가 보관하라.{nl}
QUEST_LV_0100_20150317_000090	전투 준비를 하는 동안 자넨 우리 병사들과 인사라도 하는 게 좋겠군.{nl}가이갈라스와 붙기 전에 부르도록 하지.
QUEST_LV_0100_20150317_000091	더키 기름을 태우면 가이갈라스가 그 냄새를 맡고 기어 나올거다.{nl}렝바스 정원이 적당하겠어.
QUEST_LV_0100_20150317_000092	가슴이 마구 떨려오는군.{nl}영혼이 마구 고동치는 느낌이야.
QUEST_LV_0100_20150317_000093	오래된 부엉이 조각상
QUEST_LV_0100_20150317_000094	아무도 없는 숲에 어쩐 일이신가요?{nl}
QUEST_LV_0100_20150317_000095	가이갈라스요?{nl}그냥 쓰러뜨리려면 힘들텐데요.
QUEST_LV_0100_20150317_000096	여기서 너무나도 많은 죽음을 보았어요.{nl}더 이상의 희생은 보고싶지 않아요.
QUEST_LV_0100_20150317_000097	이제 케파레이더의 즙과 크로뉴트의 가죽이 필요해요.{nl}
QUEST_LV_0100_20150317_000098	왜 그걸 가지고 계신거죠?{nl}일단 제게 주세요. 기억의 파편을 만들게요.
QUEST_LV_0100_20150317_000099	이제 이 기억의 파편으로 잠든 동료들의 기억을 되살릴 거에요.
QUEST_LV_0100_20150317_000100	기억의 파편 없이는 쓰러뜨리기 힘들어요.{nl}인프로홀더의 뿔을 가져오세요.
QUEST_LV_0100_20150317_000101	그런데 어째서 그 재료들을 가지고 있죠?
QUEST_LV_0100_20150317_000102	그들은 이미 이 세상에 없는 사람들이에요.{nl}가이갈라스에 대한 원한으로 그 때의 일을 계속 반복하고 있군요.{nl}
QUEST_LV_0100_20150317_000103	가이갈라스를 처치하면 그들을 달랠 수 있어요.{nl}걱정하는 부엉이에게 가세요.
QUEST_LV_0100_20150317_000104	걱정하는 부엉이 조각상
QUEST_LV_0100_20150317_000105	잠들어 있는 동료들을 깨워 그 날의 마법을 완성시킬 수 있도록 도와주세요.{nl}기억의 파편으로요.
QUEST_LV_0100_20150317_000106	동료들도 만족할 거예요.{nl}저는 동료들을 기억하며 이곳에 계속 서 있겠지요.
QUEST_LV_0100_20150317_000107	이제 이쉼티니 진입로로 가시면 가이갈라스를 찾을 수 있어요.{nl}병사들의 원한을 반드시 풀어주세요.
QUEST_LV_0100_20150317_000108	저는 외진 곳에 있었기 때문에 잠들지 않았어요.{nl}하지만 그걸 전부 지켜 보는 건 너무 괴로웠어요.
QUEST_LV_0100_20150317_000109	제 동료들은 병사들을 도와주려던 찰나 당하고 말았어요.{nl}만약 그 때 동료들을 지켰다면, 가이갈라스를 약화시킬 마법이 완성되었겠죠.
QUEST_LV_0100_20150317_000110	약을 빼앗아 벌컥벌컥 마시는 요나스의 몸에 뭔가 반응이 있는 것 같다.
QUEST_LV_0100_20150317_000111	고고학자 데지크
QUEST_LV_0100_20150317_000112	아이리네라고, 사라진 조수를 찾고 있소. {nl}내가 그녀를 찾으러 갈 수 있도록 주변의 몬스터를 없애 줄 수 있겠소?
QUEST_LV_0100_20150317_000113	뭘 발견해도 흥분하지 말라고 단단히 일러 두었건만.{nl}또 저질렀군.
QUEST_LV_0100_20150317_000114	고맙소.{nl}난 빨리 아이리네를 찾으러 먼저 가보겠소.
QUEST_LV_0100_20150317_000115	기술자 하이넨
QUEST_LV_0100_20150317_000116	이 케이블카는 허가를 받아야 이용할 수 있어.{nl}미안하지만 비에니사 고원 쪽으로 돌아가게.{nl}
QUEST_LV_0100_20150317_000117	하지만 주변의 성가신 몬스터를 없애 준다면 생각해 보지.
QUEST_LV_0100_20150317_000118	위험한 몬스터들을 해치고 지나가느니 케이블카를 이용하는 게 더 나을거야.{nl}물론 케이블카를 탈 수 있을 때의 얘기지만.
QUEST_LV_0100_20150317_000119	생각보다 괜찮은 실력이야.{nl}거래를 제안하고 싶군.
QUEST_LV_0100_20150317_000120	누오토리 절벽의 이상한 결계를 부숴준다면 케이블카를 계속 이용하게 해 주지.{nl}그 결계때문에 몬스터가 자꾸 늘어나거든.
QUEST_LV_0100_20150317_000121	결계가 부서졌으니 약속대로 케이블카는 마음껏 이용하게.{nl}내 옆의 윌리엄이나 반대편의 캔버그에게 내 이름을 대면 될 거야.
QUEST_LV_0100_20150317_000122	그 결계는.. 어라. 언제 만들어 진 거지?{nl}언젠가부터 있던건데 기억이 잘 안 나네.{nl}
QUEST_LV_0100_20150317_000123	하여간 그 결계 때문에 몬스터가 늘어나는 건 확실해.{nl}
QUEST_LV_0100_20150317_000124	여길 지켜 줄 병사가 너무 적어서 그래. {nl}요즘 같은 시대에 누가 이런 위험한 곳에 오려 하겠어?{nl}
QUEST_LV_0100_20150317_000125	롤란다스 요나스
QUEST_LV_0100_20150317_000126	자카리엘 대왕이 무얼 지키고 싶어 한 건진 아무도 몰라.{nl}확실한 건 그 비밀을 풀고 싶은 게 우리 인간 뿐만은 아니라는 거야.
QUEST_LV_0100_20150317_000127	어서 대왕의 열쇠로 돌다리 망터의 모든 봉인들을 풀게.{nl}그 후엔 무엇을 해야 할지 스스로 알게 될 게다.
QUEST_LV_0100_20150317_000128	아이리네는 찾았지만 구해낼 방도가 없소.{nl}로도마 제2 유적지의 이상한 결계에 묶여 있는데 내 힘으론 도저히..
QUEST_LV_0100_20150317_000129	조수 아이리네
QUEST_LV_0100_20150317_000130	결계 때문에 꼼짝을 못하겠어요.{nl}어서 로도마 유적지에 있는 세 개의 결계 좀 어떻게 해주세요.
QUEST_LV_0100_20150317_000131	아직인가요? 아이 참..
QUEST_LV_0100_20150317_000132	이런 거에 걸릴 줄 제가 알았겠어요?{nl}어휴, 그 남자를 쫓아갔다가 이게 뭐람.
QUEST_LV_0100_20150317_000133	용병 글렌
QUEST_LV_0100_20150317_000134	최근 연구원 실종 사건이 번번히 일어나고 있습니다.{nl}사우가를 잡아 단서를 찾아 볼까 하는데 도와주실 수 있을까요?
QUEST_LV_0100_20150317_000135	사우가들은 전리품을 공평하게 나눠갖지요.{nl}그 안에서 실종의 실마리를 찾을 수 있을런지.
QUEST_LV_0100_20150317_000136	다행히 아주 오래 전의 것이로군요.{nl}그렇다면 몬스터에 의한 건 아니라는 건가.
QUEST_LV_0100_20150317_000137	워낙 위험한 곳이다보니 실족이나 몬스터에 의해서 실종되는 일은 번번하지요.{nl}하지만 제가 찾는 건 그게 아니에요.{nl}
QUEST_LV_0100_20150317_000138	가끔 어떤 사람들은 실종되어도 다른 분들은 눈치채지 못하는 경우가 있거든요.{nl}마치 기억이 지워진 것 처럼요. 이상하죠?{nl}
QUEST_LV_0100_20150317_000139	그래도 혹시 모르니 이 주변의 몬스터 처치를 부탁드리겠습니다.{nl}로도마 제1 유적지의 몬스터가 난폭하게 변했다는 보고도 있었거든요.
QUEST_LV_0100_20150317_000140	훌륭하십니다.{nl}당분간은 안심할 수 있겠지요.
QUEST_LV_0100_20150317_000141	몬스터들이 몰려 와요.{nl}제가 풀려났다는 걸 알아챘나봐요.
QUEST_LV_0100_20150317_000142	여신께서 당신을 보낸 건가요?{nl}당신이 절 지켜줄 거라곤 꿈에도 생각 못했어요.{nl}
QUEST_LV_0100_20150317_000143	그 거대한 전갈은 어디로 간거죠? 큰일이에요!
QUEST_LV_0100_20150317_000144	빨리 데지크 선생님께 돌아가야겠어요.{nl}나중에 또 뵈었으면 좋겠네요.
QUEST_LV_0100_20150317_000145	누군가 왕릉을 지키는 몬스터에게 이상한 짓을 한 게 틀림없어요.{nl}도대체 무슨 속셈일까요?
QUEST_LV_0100_20150317_000146	선생님, 정신 차려 보세요. 선생님!
QUEST_LV_0100_20150317_000147	신입 왕릉 연구원
QUEST_LV_0100_20150317_000148	버려진 옛 작업장에서 귀중한 연구 자료를 잃어 버렸어요.{nl}분명히 몬스터가 가져가 버렸을텐데, 포기해야 할까요.
QUEST_LV_0100_20150317_000149	왕릉을 제 눈으로 보다니, 그건 너무 기쁘지만 몬스터는 무섭네요.
QUEST_LV_0100_20150317_000150	정말 감사해요.{nl}혹시 모르니 기록 저장소도 확인해 주세요.
QUEST_LV_0100_20150317_000151	이 거대한 협곡 어딘가엔 왕릉으로 가는 입구가 숨겨져 있대요.{nl}여긴 그 협곡의 시작점이고요.{nl}
QUEST_LV_0100_20150317_000152	왕릉 연구를 위해 여러 전문가들이 여기에 와 있어요.{nl}여기서 신수의 날의 실마리를 찾을 수 있을지도 모른다네요.
QUEST_LV_0100_20150317_000153	그런데 협곡에는 식물들도 별로 없는데 어째서 몬스터가 이렇게나 많은 걸까요?
QUEST_LV_0100_20150317_000154	제가 부탁한 것은 어떻게 되었나요? 아직인가요?
QUEST_LV_0100_20150317_000155	땅바닥을 유심히 잘 봐주세요. {nl}혹시나 떨어져 있을지도 몰라요.
QUEST_LV_0100_20150317_000156	흠, 이것 뿐이던가요?{nl}이만큼 찾아주신 것도 감사해요.{nl}처음부터 다시 베껴쓰면 되니까요.
QUEST_LV_0100_20150317_000157	댁도 닐스가 보낸 거요?{nl}난 안 가오. 야생화를 연구해야 한단 말요.{nl}
QUEST_LV_0100_20150317_000158	내가 헛것을 본 게로군.{nl}왕국의 광물학자로써 날 지켜준 대가로 사례라도 해야겠어.{nl}
QUEST_LV_0100_20150317_000159	그렇지. {nl}닐스에게 내 기록을 받아오게.
QUEST_LV_0100_20150317_000160	요나스님께서 자신의 기록을 달라 하셨다고요.{nl}알겠습니다. 대신 약도 함께 전해주세요.{nl}
QUEST_LV_0100_20150317_000161	정신을 돌아오게 하는 약입니다.{nl}조사단 캠프 오른쪽에 계신 다비오님께 약을 부탁해 놓았습니다.
QUEST_LV_0100_20150317_000162	요나스님은 자카리엘 대왕의 왕릉을 모시는 가문의 당주이십니다.{nl}원랜 정정하신 분이었는데 어느 날 갑자기 노망이 드셨지요.{nl}
QUEST_LV_0100_20150317_000163	요나스님께서 시종과 함께 시찰을 도신다며 나가시고 나서일 겁니다.{nl}요나스님은 노망이 든 채로 발견되었고, 시종은 그대로 실종되었죠.
QUEST_LV_0100_20150317_000164	요나스님을 잘 부탁드립니다.{nl}어디 다치시기라도 한다면 정말 큰일납니다.
QUEST_LV_0100_20150317_000165	다비오님은 캠프 오른쪽에 계십니다.{nl}약이 잘 들어야 할 텐데.
QUEST_LV_0100_20150317_000166	이제서야 전부 기억이 나.{nl}나는 왕릉을 모시는 가문의 당주.. 자네는 누구지?{nl}
QUEST_LV_0100_20150317_000167	계시자라. 이게 다 여신의 뜻이라면 이 또한 자격이겠지.{nl}자네는 해야 할 일이 있으니 봉화대 고개로 따라오게.
QUEST_LV_0100_20150317_000168	본의 아니게 닐스에게도, 자네에게도 염려를 끼쳤구먼.
QUEST_LV_0100_20150317_000169	자네가 주변의 몬스터를 해치우면 그 틈을 타 먼저 봉화대로 가 있겠네.{nl}그럼, 부탁하지.
QUEST_LV_0100_20150317_000170	지금이군. 봉화대 고개로 먼저 가 있을테니 따라오게.
QUEST_LV_0100_20150317_000171	난 자네가 자격이 있을 거라 믿네.{nl}모든 것은 라이마께서 이끄신 게야.
QUEST_LV_0100_20150317_000172	드디어 이 비보를 넘겨줄 이를 찾았네.{nl}내 노망이 나버리는 바람에 진즉 알아보지 못한 게 후회스럽군.
QUEST_LV_0100_20150317_000173	자카리엘 대왕께서는 적임자에게 비보를 내어 주라 하셨지.{nl}자네가 그걸 가질 자격이 있는지 대왕의 눈에서 확인하게.
QUEST_LV_0100_20150317_000174	우리 가문은 왕릉을 수호하는 일 말고도 한 가지 사명이 더 있네.{nl}적임자가 나타날 때 까지 대왕의 비보를 수호하는 것이지.{nl}
QUEST_LV_0100_20150317_000175	그 비보가 정확히 무엇인지는 우리도 모르네.{nl}대왕께서 지키라 하셨으니 우리는 그 명을 따르는 게야.
QUEST_LV_0100_20150317_000176	약재상
QUEST_LV_0100_20150317_000177	음.. 그러면, 협곡 메토스라고 이 협곡에서만 나는 박하가 있소.{nl}그걸 가져다 주시오.
QUEST_LV_0100_20150317_000178	협곡 메토스는 흐려진 정신을 번쩍 들게 하는 데엔 특효요.{nl}특히 오락가락 하는 노인네라면 더욱 좋지.
QUEST_LV_0100_20150317_000179	그거 맞소. 당신 좀 보는 눈이 있구려?{nl}
QUEST_LV_0100_20150317_000180	자. 다 되었소. {nl}이걸 다시 다비오에게 갖다 주시오.
QUEST_LV_0100_20150317_000181	상인 다비오
QUEST_LV_0100_20150317_000182	그 영감의 약은 갖고 왔어. {nl}하지만 구하느라 얼마나 힘들었다고. 추가 비용을 치뤄 주셔야겠어.{nl}
QUEST_LV_0100_20150317_000183	이 동네 리첸클롭스들이 가지고 있는 금붙이 정도면 될 거다.{nl}그걸 카파스 가도의 약재상에게 잔금 대신 치뤄 주게.
QUEST_LV_0100_20150317_000184	이 정도면 충분하군. 다비오가 보냈겠지?{nl}하지만 약효가 제대로 들을려면 한 가지 약재가 더 필요해.
QUEST_LV_0100_20150317_000185	약을 만드려면 원인을 알아내야 하는데 이게 골치아팠다고.{nl}웃기게도, 아주 오래 전에 쓰인 마법이랑 같은 것이였어.{nl}
QUEST_LV_0100_20150317_000186	소문으로 들은 얘기지만 자카리엘 대왕은 왕릉을 만들고 나서 모든 인부들의 기억을 지웠다는군.{nl}그게 요나스 영감한테 걸린 마법이야. 그런데 나이 때문에 노망도 온 거지.
QUEST_LV_0100_20150317_000187	그 영감의 약을 구하는 게 얼마나 힘들었는 줄 알아?{nl}하지만 이 다비오님께서 구할 수 없는 물건은 없지.
QUEST_LV_0100_20150317_000188	자네가 가져온 걸 벌꿀술에 녹이면 완성이지. 가져가게.
QUEST_LV_0100_20150317_000189	그 약은 잘 들으니까, 어떻게든 입에 넣기만 하면 될 거야.
QUEST_LV_0100_20150317_000190	늦었군. {nl}내 기록들은 가지고 왔나?
QUEST_LV_0100_20150317_000191	참, 버려진 옛 작업장으로 가봐.{nl}웬 노인이 혼자 돌아다닌다고 하던데 요나스 영감인 것 같아.
QUEST_LV_0100_20150317_000192	그건 뭔가. 벌꿀 술 냄새가 나는군!
QUEST_LV_0100_20150317_000193	머리가 아프군.{nl}여기서 난 뭘 하고 있는 거지? 
QUEST_LV_0100_20150317_000194	수색이라니 정말 다행이네요.{nl}몬스터에게 쫓기느라 지원품이고 뭐고 다 팽개치고 도망쳤거든요.{nl}일단 흩어진 물품부터 찾아주시겠습니까?
QUEST_LV_0100_20150317_000195	용병 체면에 드릴 말씀이 없네요.{nl}전 신수의 날에도 멀쩡했는데 여긴 무슨 특별한 저주라도 있는 게 틀림 없어요.{nl}
QUEST_LV_0100_20150317_000196	요청한 지가 언젠데 이제 오는거야.{nl}게다가 미르타는 어딜 갔고 당신은 누구지?
QUEST_LV_0100_20150317_000197	뭔가 생각이 날 것 같기도 한데요.{nl}생각하려 할 수록 흐려지는 느낌이에요.
QUEST_LV_0100_20150317_000198	바이도타스
QUEST_LV_0100_20150317_000199	이 냄새는.. 광산 안의 정화 장치가 고장이 난 모양입니다.{nl}끌려간 사람들이 질식할지도 모르니 얼른 수리하는 것이 좋겠습니다.
QUEST_LV_0100_20150317_000200	커닝햄의 전설을 아십니까?{nl}과거, 이 수정광산에 엄청난 마족을 봉인했다는 전설이지요.{nl}자세한 내용은 광산 2층의 광부휴게실에 책이 있으니 한 번 읽어 보시고요.{nl}
QUEST_LV_0100_20150317_000201	어쨌든, 그 마족이 다시 깨어나 부베들을 부리는 건 아닌가 하는게 제 추측입니다.{nl}주교님께서 꾸신 꿈과 커닝햄의 전설.. 거대한 사건의 예고가 아닐까 하는 생각도 들어요.{nl}
QUEST_LV_0100_20150317_000202	그게 희망일지 절망일지는 오직 여신께서만 알겠지요.{nl}
QUEST_LV_0100_20150317_000203	정화장치는 누구든 쉽게 고칠 수 있습니다만, 부품을 찾는 게 어려울 수도 있습니다.{nl}그럴 땐 제가 드리는 나침반을 사용하세요.{nl}
QUEST_LV_0100_20150317_000204	그럼, 전 따로 할 일이 있으니 3층에서 다시 뵙도록 하지요.{nl}여신의 이름으로 무운을 빌겠습니다.
QUEST_LV_0100_20150317_000205	정화장치 수리가 어려우시면 제가 드린 나침반을 사용해 보세요.{nl}금새 방법을 찾을 수 있을 겁니다.
QUEST_LV_0100_20150317_000206	마을 아주머니
