QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000058	So this is Kepeck's record... Mercenary Mirta was looking for this.{nl}I am okay as long as I can confirm their safety. Thank you for your efforts.
QUEST_LV_0100_20150317_000059	Ahylas Jonas
QUEST_LV_0100_20150317_000060	
QUEST_LV_0100_20150317_000061	
QUEST_LV_0100_20150317_000062	Disciple of Gustas
QUEST_LV_0100_20150317_000063	Have you unlocked the seal of Pagasa Cliff?{nl}It will start now.
QUEST_LV_0100_20150317_000064	Words carved into a rock.
QUEST_LV_0100_20150317_000065	Do not touch or push it.
QUEST_LV_0100_20150317_000066	I was waiting for you.{nl}The next seal is located on the way to Broken Sanctum.
QUEST_LV_0100_20150317_000067	You won't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.
QUEST_LV_0100_20150317_000068	Gustas Jonas
QUEST_LV_0100_20150317_000069	So it's you.{nl}You are much more of a man compared to what I had imagined.
QUEST_LV_0100_20150317_000070	Soldier Alan
QUEST_LV_0100_20150317_000071	You are a new soldier right?{nl}I received a patrolling order, but I guess you can go my behalf.
QUEST_LV_0100_20150317_000072	You're good.{nl}I don't want to go there. I had a horrible experience once.
QUEST_LV_0100_20150317_000073	I'm remembering something...
QUEST_LV_0100_20150317_000074	You know that we are dispatched here to destroy Gaigalas right?{nl}Hey newcomer. Can you take this report to Commander Wallis?
QUEST_LV_0100_20150317_000075	Commander Wallis
QUEST_LV_0100_20150317_000076	How come you brought this report instead of Alan?{nl}Are you a newcomer?
QUEST_LV_0100_20150317_000077	I can return home after we defeat Gaigalas.{nl}Ah, I just want to go home.
QUEST_LV_0100_20150317_000078	Wallis is at Three Footsteps.
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}It is an order. Bring some juice from Kepa Raiders.
QUEST_LV_0100_20150317_000080	Guys these days, they don't have any guts.{nl}I hope you're a good influence to them.
QUEST_LV_0100_20150317_000081	I am sure we will win this battle.{nl}Why? Owls told us that they will help us.
QUEST_LV_0100_20150317_000082	The Kepa Raiders are near Lanutis Falls.{nl}To defeat Gaigalas, we really need that.
QUEST_LV_0100_20150317_000083	Soldier Weisz
QUEST_LV_0100_20150317_000084	Hey, are you taking a break?{nl}Get some oil from Duckeys at Lanvas Garden.
QUEST_LV_0100_20150317_000085	We will lure Gaigalas using Duckey Oil.{nl}Hey newcomer, don't loaf around.
QUEST_LV_0100_20150317_000086	Today will be the last day for Gaigalas.{nl}Are you ready, newcomer?
QUEST_LV_0100_20150317_000087	Next, we will get leather from the Cronewt that lives in Lanvas Garden.{nl}Move fast, soldier.
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}The goddesses are on our side.
QUEST_LV_0100_20150317_000089	You are pretty good for a newcomer.{nl}It's disorganized here at the moment, so you can keep those ingredients for now.{nl}
QUEST_LV_0100_20150317_000090	Get to know our soldiers while I make preparations for the battle.{nl}I will call you before we confront Gaigalas.
QUEST_LV_0100_20150317_000091	When we burn the Duckey Oil, Gaigalas will appear after smelling the odor.{nl}Lanvas Garden will be a good place to burn it.
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my spirit is about to leave my body.
QUEST_LV_0100_20150317_000093	Statue of Old Owl
QUEST_LV_0100_20150317_000094	There's no one in this forest. Why are you here?{nl}
QUEST_LV_0100_20150317_000095	Who? Gaigalas?{nl}Defeating it without any assitance will be difficult.
QUEST_LV_0100_20150317_000096	I have seen many deaths here.{nl}I don't want to see any more sacrifices.
QUEST_LV_0100_20150317_000097	I need Kepa Raider juice, and Cronewt leather.
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Fragment of Memory.
QUEST_LV_0100_20150317_000099	With this Fragment of Memory I will revive the memories of our sleeping colleagues.
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without the Fragment of Memory.{nl}Please bring the horn of Infroholder.
QUEST_LV_0100_20150317_000101	How come you have all these ingredients?
QUEST_LV_0100_20150317_000102	
QUEST_LV_0100_20150317_000103	We can calm them if we defeat Gaigalas.{nl}Please go see the Worrying Owl.
QUEST_LV_0100_20150317_000104	The Statue of Worrying Owl
QUEST_LV_0100_20150317_000105	Please wake the sleeping colleagues and help us complete the magic on this day.{nl}With the Fragment of Memory.
QUEST_LV_0100_20150317_000106	They will be satisfied.{nl}I will stand here while remembering our colleagues.
QUEST_LV_0100_20150317_000107	You will find Gaigalas when you go to the entrance of Ishimtini.{nl}Please avenge our fallen soldiers.
QUEST_LV_0100_20150317_000108	I was in an isolated place so I didn't fall asleep.{nl}But, watching it all was painful for me.
QUEST_LV_0100_20150317_000109	My colleagues were attacked while they were trying to help the soldiers.
QUEST_LV_0100_20150317_000110	Some symbols started to show on the body of Jonas after he drank the medicine.
QUEST_LV_0100_20150317_000111	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	I am looking for my assistant named Irene.{nl}Can you defeat the monsters nearby so I can go look for her?
QUEST_LV_0100_20150317_000113	I told her not to get excited even if she finds something.{nl}She did it again.
QUEST_LV_0100_20150317_000114	Thanks.{nl}I will go look for Irene.
QUEST_LV_0100_20150317_000115	Technician Heinen
QUEST_LV_0100_20150317_000116	
QUEST_LV_0100_20150317_000117	
QUEST_LV_0100_20150317_000118	
QUEST_LV_0100_20150317_000119	Much better than I expected.{nl}I want to propose a deal to you.
QUEST_LV_0100_20150317_000120	
QUEST_LV_0100_20150317_000121	
QUEST_LV_0100_20150317_000122	That barrier... When was it made?{nl}It has been there for quite some time, but I can't remember exactly how long.{nl}
QUEST_LV_0100_20150317_000123	I'm sure that barrier is responsible for the increasing number of monsters lately.{nl}
QUEST_LV_0100_20150317_000124	We don't have many soldiers here.{nl}No one in their right mind would come here in this day and age.{nl}
QUEST_LV_0100_20150317_000125	Rolandas Jonas
QUEST_LV_0100_20150317_000126	No one knows what the great King Zachariel tried to protect.{nl}And I'm sure that we're not the only ones who want to solve that mystery.
QUEST_LV_0100_20150317_000127	Please unleash the seals with this Key of the Great King at the Awaiting Stone Bridge.{nl}You will know what to do next.
QUEST_LV_0100_20150317_000128	I found Irene, but I don't know how to rescue her.{nl}She is tied at the 2nd Architects' Site in Rodoma, but I can't rescue her myself...
QUEST_LV_0100_20150317_000129	Assistant Irene
QUEST_LV_0100_20150317_000130	I can't move because of the barrier.{nl}Please break the three barriers at the Rodoma Architects' Site.
QUEST_LV_0100_20150317_000131	Not done yet? Damn...
QUEST_LV_0100_20150317_000132	I didn't expect that I would fall into this kind of thing.{nl}Damn, I should not have followed him.
QUEST_LV_0100_20150317_000133	Mercenary Glen
QUEST_LV_0100_20150317_000134	So many researchers are disappearing these days.{nl}I'm trying to find some clues by defeating Saugas. Can you help us?
QUEST_LV_0100_20150317_000135	Saugas distribute rewards equally among themselves.{nl}Maybe we can find some clues there.
QUEST_LV_0100_20150317_000136	Fortunately they are very old.{nl}That means it's not due to monsters.
QUEST_LV_0100_20150317_000137	This is a very dangerous place and many people have gone missing here.{nl}But that is not the main problem here.{nl}
QUEST_LV_0100_20150317_000138	Sometimes when certain people disappear no one else notices.{nl}It's as if all memories of those who disappear are erased. Isn't it strange?{nl}
QUEST_LV_0100_20150317_000139	Please defeat all monsters nearby to prevent anything from happening.{nl}There were reports that the monsters at the 1st Architects' Site had turned violent.
QUEST_LV_0100_20150317_000140	Very good indeed.{nl}We don't have to worry for a while.
QUEST_LV_0100_20150317_000141	Monsters are coming!{nl}They probably found out I was released.
QUEST_LV_0100_20150317_000142	The goddesses sent you?{nl}I never thought that you would protect me.{nl}
QUEST_LV_0100_20150317_000143	Where is that huge scorpion? We are in trouble!
QUEST_LV_0100_20150317_000144	I should go see Dezik.{nl}I hope to see you again in the future.
QUEST_LV_0100_20150317_000145	Someone must have done something strange to the monsters protecting the Mausoleum.{nl}What were they thinking?
QUEST_LV_0100_20150317_000146	Sir, recover your consciousness. Sir!
QUEST_LV_0100_20150317_000147	New Mausoleum Researcher
QUEST_LV_0100_20150317_000148	I lost my important research materials at the Abondoned Old Workplace.{nl}The monsters must have taken them... Should I just give up?
QUEST_LV_0100_20150317_000149	I am so glad I get to see the Mausoleum myself, but the monsters... They are scary.
QUEST_LV_0100_20150317_000150	Thank you so much.{nl}But you should also check the Records Repository.
QUEST_LV_0100_20150317_000151	The entrace to the Mausoleum is hidden somewhere in this gigantic canyon.{nl}And this place is the start of the canyon.
QUEST_LV_0100_20150317_000152	Many experts have come here to conduct research on the Mausoleum.{nl}Maybe we can find some clues about the Medis Diena here.
QUEST_LV_0100_20150317_000153	Why are there so many monsters at the Canyon when there is such little plant life?
QUEST_LV_0100_20150317_000154	What happened to my request? Is it not done yet?
QUEST_LV_0100_20150317_000155	Look closely at the ground.{nl}It may have fallen down.
QUEST_LV_0100_20150317_000156	Only these?{nl}Well, thank you for finding this much at least.{nl}I can just copy again from the beginning.
QUEST_LV_0100_20150317_000157	So Niels has also sent you?{nl}I am not going. I have to research the wild flowers.{nl}
QUEST_LV_0100_20150317_000158	I guess what I saw was a delusion.{nl}I will compensate you for protecting me.{nl}
QUEST_LV_0100_20150317_000159	Yes.{nl}Bring my record from Niels.
QUEST_LV_0100_20150317_000160	Jonas told you to bring his record?{nl}Okay. Would you please also bring him this medicine.{nl}
QUEST_LV_0100_20150317_000161	The medicine will help recover conciousness.{nl}Davio at the right side of the research camp has the medicine.
QUEST_LV_0100_20150317_000162	Jonas is the head of the family that protects the Mausoleum of Zachariel.{nl}He was very healthy before, but these days he is old and weak.{nl}
QUEST_LV_0100_20150317_000163	If Jonas was walking with his maid, then that's after you went outside.{nl}Jonas was found when he was in his dotage and the maid is still missing.
QUEST_LV_0100_20150317_000164	Please take good care of Jonas.{nl}It would be a big problem if he got hurt.
QUEST_LV_0100_20150317_000165	Davio is at the right side of the camp.{nl}I hope the medicine works well.
QUEST_LV_0100_20150317_000166	Finally, I remember everything.{nl}I am the head of the family that protects the Mausoleum... Who are you?{nl}
QUEST_LV_0100_20150317_000167	Revelator. If this is the decision of the goddess, then you must be right.{nl}You have a job to do, so follow me to the light signal place.
QUEST_LV_0100_20150317_000168	I have made Niels and you worry...
QUEST_LV_0100_20150317_000169	I will lead the way and you will handle any monsters we encounter.{nl}I am counting on you.
QUEST_LV_0100_20150317_000170	Now is our chance. Follow me!
QUEST_LV_0100_20150317_000171	I am sure that you are qualified for this.{nl}Goddess Laima has led all these.
QUEST_LV_0100_20150317_000172	I finally found someone to share this sad news with.{nl}I regret not recognizing you sooner due to my senility.
QUEST_LV_0100_20150317_000173	Zachariel told me to share this sad news with the qualified person.{nl}See if you are qualifed for this at the Great King's Eyes.
QUEST_LV_0100_20150317_000174	We have one more responsiblity besides protecting this Mausoleum.{nl}To protect the sad news until the qualified person comes.{nl}
QUEST_LV_0100_20150317_000175	I don't know what that sad news is.{nl}The king has told us to protect it so we are just following his order.
QUEST_LV_0100_20150317_000176	Medicine Dealer
QUEST_LV_0100_20150317_000177	Hmm... Well, there's a mint that only grows at Metos Canyon.{nl}Please bring me that.
QUEST_LV_0100_20150317_000178	Metos Canyon is the best place to wake up your consciousness. Especially for an old man.
QUEST_LV_0100_20150317_000179	That's right. You have some sense.{nl}
QUEST_LV_0100_20150317_000180	Alright, it's done.{nl}Take this to Davio.
QUEST_LV_0100_20150317_000181	Merchant Davio
QUEST_LV_0100_20150317_000182	We brought that old man's medicine. {nl}But we spent a long time getting it. I should charge you more.{nl}
QUEST_LV_0100_20150317_000183	The gold that Lichenclops have in this town will be enough.{nl}Bring those to the pharmacist at Kapas.
QUEST_LV_0100_20150317_000184	This will be enough. Davio sent you right?{nl}To make the medicine effective I need one more ingredient.
QUEST_LV_0100_20150317_000185	To make the medicine, I needed find the cause and it drove me crazy.{nl}The funny thing is that it was the same thing as the magic that was used long ago.{nl}
QUEST_LV_0100_20150317_000186	I heard a rumor that Zachariel erased the memories of all workers after building the Mausoleum.{nl}That's the magic cast on Jonas, though he is also a bit senile.
QUEST_LV_0100_20150317_000187	It was so hard to get that old man's medicine.{nl}But, there's nothing that I cannot get.
QUEST_LV_0100_20150317_000188	It will be completed when you melt it in the honey that you brought. Take it.
QUEST_LV_0100_20150317_000189	That medicine works well. Make him swallow it somehow.
QUEST_LV_0100_20150317_000190	It's late.{nl}Did you bring my records?
QUEST_LV_0100_20150317_000191	Go to the Abondoned Workplace.{nl}Some old man is wandering around there. I think it's Jonas.
QUEST_LV_0100_20150317_000192	What is that? It smells like honey alcohol.
QUEST_LV_0100_20150317_000193	I feel dizzy.{nl}What am I doing here anyway?
QUEST_LV_0100_20150317_000194	It's good to hear that they are searching for it.{nl}I left all the supplies and my belogings since monsters were chasing after me.{nl}Can you go find the scattered supplies first?
QUEST_LV_0100_20150317_000195	I don't have anything to tell you as a humble mercenary.{nl}I was okay even on the Medis Diena, I am sure this place is cursed.{nl}
QUEST_LV_0100_20150317_000196	Why do you come here now after such a long time?{nl}Where is Mirta and who are you?
QUEST_LV_0100_20150317_000197	I'm trying to remember something but it keeps fading whenever I get close.
QUEST_LV_0100_20150317_000198	Vaidotas
QUEST_LV_0100_20150317_000199	The smell.. I think the purifying device in the mine is broken.{nl}We better repair it quickly. The people taken away might suffocate.
QUEST_LV_0100_20150317_000200	Do you know the legend of Cunningham?{nl}It's a legend about the great demon sealed here in the Crystal Mine.{nl}For more details, there is a book about it in the miners lounge of 2nd Gallery.{nl}
QUEST_LV_0100_20150317_000201	Anyway, my guess is that the demon is re-awakening and is controlling the Vubbes.{nl}The dream the bishop had and the legend of Cunningham... I feel it might be a sign that something huge is about to happen.{nl}
QUEST_LV_0100_20150317_000202	Only the goddess would know if it is hope or despair.{nl}
QUEST_LV_0100_20150317_000203	The purifier can be easily fixed by anyone but it may be hard to find the parts.{nl}In that case, use the compass that I gave you.{nl}
QUEST_LV_0100_20150317_000204	Well then, I have some things to do so I will meet you in the 3rd Gallery.{nl}I wish for your fortune of war in the name of the goddess.
QUEST_LV_0100_20150317_000205	If you can't repair the purifier, use the compass I gave you.{nl}You'll be able to find a way.
QUEST_LV_0100_20150317_000206	Village Aunt
QUEST_LV_0100_20150317_000207	Did you come to save us? Did you?
QUEST_LV_0100_20150317_000208	Okay! We are going to be okay now!
QUEST_LV_0100_20150317_000209	Village Girl
QUEST_LV_0100_20150317_000210	Please save us. Please..
QUEST_LV_0100_20150317_000211	Please release me. Please..
QUEST_LV_0100_20150317_000212	Mr. Juan
QUEST_LV_0100_20150317_000213	I feel mad whenever I see those Vubbes that ruined my hometown.{nl}That's why I want to help people like you who fight againt the Vubbes.
QUEST_LV_0100_20150317_000214	I would have left already if this wasn't my hometown.{nl}Where on earth have all the Vubbes been hiding before they crawled out?
QUEST_LV_0100_20150317_000215	Pharmacist lady
QUEST_LV_0100_20150317_000216	Thanks for the last time.{nl}Without you, I would have never gotten those ingredients.
QUEST_LV_0100_20150317_000217	Maybe the person that the goddess sent was you.{nl}You are the most merciful person I have ever seen among the revelators.
QUEST_LV_0100_20150317_000218	Soldier Jays
QUEST_LV_0100_20150317_000219	I will protect this village for my dead colleagues.
QUEST_LV_0100_20150317_000220	Even if the world changes, I will never forgive the Vubbes.
QUEST_LV_0100_20150317_000221	Soldier Edgar
QUEST_LV_0100_20150317_000222	These are the rations that we gathered from the east forest.{nl}I will never, ever lose them again. Never.
QUEST_LV_0100_20150317_000223	Thanks to you, I found this much.{nl}I'm so happy.
QUEST_LV_0100_20150317_000224	Knight Commander Uska
QUEST_LV_0100_20150317_000225	Is this slate the evidence of salvation?{nl}It just looks like an old rock to me.
QUEST_LV_0100_20150317_000226	
QUEST_LV_0100_20150317_000227	You better ask the Bokor Master about this slate.{nl}She lives at the end of Klaipedas Residential Area so go pay her a visit.
QUEST_LV_0100_20150317_000228	Use your time wisely.{nl}No one can know everything about one's own future.
QUEST_LV_0100_20150317_000229	So you finally came.{nl}What did the Bokor Master tell you?
QUEST_LV_0100_20150317_000230	I'm also curious about the girl who cracked the seal.{nl}This is not a seal that can easily be broken.
QUEST_LV_0100_20150317_000231	If the Bokor Master told you that I would know it..{nl}I can think of a place.{nl}
QUEST_LV_0100_20150317_000232	
QUEST_LV_0100_20150317_000233	Miners' Village Mayor
QUEST_LV_0100_20150317_000234	Welcome. Aren't you our town's savior?{nl}
QUEST_LV_0100_20150317_000235	
QUEST_LV_0100_20150317_000236	So this revelation is Goddess Laima and we have to collect all these for the Goddess to regain her powers?{nl}That is amazing.
QUEST_LV_0100_20150317_000237	Oh, please do not reveal the fact that the Revelator has been found unless absolutely necessary.{nl}It may only create confusion if the rumors spread.
QUEST_LV_0100_20150317_000238	Ah, you mean the report.{nl}At first, those Siaulagos did something strange to the supplies, but they ran away after a while when Sparnas came.{nl}
QUEST_LV_0100_20150317_000239	I was spotted by those Siaulagos when they were running away, so I engaged in a battle..{nl}Yes.. And as you can see, I lost it. The report, I mean.{nl}Aren't they bastards?
QUEST_LV_0100_20150317_000240	When you find the report, please hand it over to Luders right away.{nl}I feel terrified to think what those bastards did to our supplies.
QUEST_LV_0100_20150317_000241	Yes. After seeing Moody's report, I am confident that they put something in our supplies to lure Sparnas.{nl}Such as Old Grains that birds go crazy on.
QUEST_LV_0100_20150317_000242	The soldiers on patrol found the place where Siaulambs' stolen goods are packed.{nl}How about we steal them for ourselves?{nl}Let's make it known that we're not as weak as they think.{nl}
QUEST_LV_0100_20150317_000243	You should fight fire with fire.{nl}We will keep attacking until they fully realize that they've made a mistake.
QUEST_LV_0100_20150317_000244	We're not going to suffer anymore.{nl}Thanks for your efforts.
QUEST_LV_0100_20150317_000245	It will be Ziedo Pond.{nl}I heard there are many Siaulambs, so be careful.
QUEST_LV_0100_20150317_000246	I have not heard anything else about the bishop's dream.{nl}Sorry, I can't be of much help.
QUEST_LV_0100_20150317_000247	Klaipeda Guard Captain
QUEST_LV_0100_20150317_000248	Go ahead to Klaipeda.{nl}Commander Uska is waiting for you in Klaipeda Central Plaza.{nl}I heard the bishop also had a dream about the Goddess... And I think it has to do with that.
QUEST_LV_0100_20150317_000249	Klaipeda Guard
QUEST_LV_0100_20150317_000250	Thank you for making your way here.{nl}If there is this much still left even after Sir Titas handled it himself, can you imagine how it was before?
QUEST_LV_0100_20150317_000251	Mercenary Tobi
QUEST_LV_0100_20150317_000252	Do you want to do a small task for me?{nl}I'm a known face so it will be hard for me to do it myself.
QUEST_LV_0100_20150317_000253	If you don't want to, then you don't have to.{nl}There are plenty of people around who can do this.
QUEST_LV_0100_20150317_000254	Good.{nl}You possess tremendous abilities.
QUEST_LV_0100_20150317_000255	It's definitely worth it.{nl}Even if the King spent all his assets building the Mausoleum, its size is huge.
QUEST_LV_0100_20150317_000256	Hey you. That equipment is not permitted.{nl}Do not leave it lying around.{nl}
QUEST_LV_0100_20150317_000257	Okay. Bring me some kind of evidence that those people are making counterfeits.{nl}Do whatever it takes.
QUEST_LV_0100_20150317_000258	I am looking for the evidence of artifact forgery.{nl}The first thing you must do is gather the equipment necessary for digging.
QUEST_LV_0100_20150317_000259	Of course you should show us your skills.{nl}Defeating Desert Chupacabras or Zinutes will be enough to prove yourself.
QUEST_LV_0100_20150317_000260	Supply Officer
QUEST_LV_0100_20150317_000261	Thank you for your help.{nl}I think this is enough.{nl}
QUEST_LV_0100_20150317_000262	)}{nl}If you have time, please tell our troops to assemble.{nl} If you don't want to, you may just go ahead to Klaipeda.
QUEST_LV_0100_20150317_000263	Scout
QUEST_LV_0100_20150317_000264	Go back, it's dangerous!{nl}Kepas will soon be marching in.
QUEST_LV_0100_20150317_000265	Oh, you're the Revelator.{nl}It must be fate that we are to fight together. Let me give you some inside scoop.
QUEST_LV_0100_20150317_000266	You mentioned that we need to assemble, right?{nl}Help me find the missing luggage and I'll go as soon as I can.
QUEST_LV_0100_20150317_000267	You haven't found the luggage yet? I can't go back without it.
QUEST_LV_0100_20150317_000268	Thank you. You found it sooner than I expected.{nl}
QUEST_LV_0100_20150317_000269	If you follow the road to the north, you will find the Search Scout.{nl}Good luck.
QUEST_LV_0100_20150317_000270	Laimonas
QUEST_LV_0100_20150317_000271	Have you ever offered worship to the Statue?{nl}If not, I'd really recommend it.
QUEST_LV_0100_20150317_000272	That depends on which Goddess it is.{nl}If you follow the road to the right you will find the Statue of Goddess Zemyna. 
QUEST_LV_0100_20150317_000273	I do worry that the monsters might harm the Statue of the Goddess.
QUEST_LV_0100_20150317_000274	Good thing to hear that the Statue is fine.{nl}The monsters know to fear the Goddess.{nl}
QUEST_LV_0100_20150317_000275	Go down the Shadow Forest Road and you should arrive at Klaipeda shortly.{nl}Well then, may be blessings of Goddess be with you
QUEST_LV_0100_20150317_000276	Please do me a favor if you are headed to Klaipeda.{nl}It's not easy to go back and forth from Klaipeda because of the Infro Rocktors nowadays.
QUEST_LV_0100_20150317_000277	Maybe taking care of the Statues will make the Goddesses return sooner...
QUEST_LV_0100_20150317_000278	Follow the road on the left at the camp crossroads.{nl}{-scp SCR_DIALOG_NPC_ANIM(
QUEST_LV_0100_20150317_000279	)} You'll meet the troops right away.
QUEST_LV_0100_20150317_000280	)} Alright, good job.{nl}You'll arrive at Klaipeda shortly if you follow the Shadow Forest Road.{nl}Don't forget to drop by Sir Uska.
QUEST_LV_0100_20150317_000281	Battle Commander
QUEST_LV_0100_20150317_000282	I will have my men notify the troops to assemble.{nl}You may return to Sir Titas and let him know.
QUEST_LV_0100_20150317_000283	It's nothing difficult.{nl}If you don't want to, I'll let you go to Klaipeda right away.
QUEST_LV_0100_20150317_000284	Search Scout
QUEST_LV_0100_20150317_000285	It sure is a problem.{nl}I didn't know Kepas could grow that big.
QUEST_LV_0100_20150317_000286	Shouldn't Revelators go to Klaipeda instead of here?
QUEST_LV_0100_20150317_000287	I feel so relieved to be stationed in the Western Woods.{nl}There are some places where you'd rather die than to be stationed.
