QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150317_000063	가시숲을 정화해 주는 병사들을 돕고 싶은데 제겐 그럴 힘이 없어 안타까워요.{nl}트리굴이라도 처치해 주실 수 있을까요?
QUEST_LV_0200_20150317_000064	예전처럼 이 길을 오가는 사람들이 많아졌으면 좋겠어요.{nl}사람들은 정말 재밌거든요.
QUEST_LV_0200_20150317_000065	고마워요. 괜히 제 바램 때문에 고생하시네요.
QUEST_LV_0200_20150317_000066	좋소. 니우러스 가도에서 우리 부대원들의 소식이 끊겼소.{nl}그들의 수색을 부탁하오.
QUEST_LV_0200_20150317_000067	만약 찾아봐도 그들이 없다면, 일단은 그냥 돌아오시오.
QUEST_LV_0200_20150317_000068	병사 칼루스
QUEST_LV_0200_20150317_000069	아직 안쪽에 동료들이 많습니다.{nl}지원을 부탁드립니다.
QUEST_LV_0200_20150317_000070	병사 다이뉴스
QUEST_LV_0200_20150317_000071	드리에자 습지에서 아이언바움이 공격해왔습니다.{nl}아직 도망치지 못한 대원들도 있다고요.{nl}
QUEST_LV_0200_20150317_000072	혼자 도망쳐 나온 게 정말 부끄럽습니다.{nl}
QUEST_LV_0200_20150317_000073	정착한 부엉이 조각상
QUEST_LV_0200_20150317_000074	부탁드리고 싶은 게 있어요.{nl}병사들이 러바인러바때문에 고생하는 게 너무 안타까워요.
QUEST_LV_0200_20150317_000075	감사해요.{nl}이제 병사들이 편하게 작업할 수 있겠죠?
QUEST_LV_0200_20150317_000076	따뜻한 도움 정말 감사드려요.{nl}나중에 영혼이 되어 만나게 되면 그 땐 정말 잘해드릴게요.
QUEST_LV_0200_20150317_000077	자넨 그 유명한 계시자 아닌가.{nl}이거 참 난처했는데 잘 됐군. 자네의 도움이 필요해.
QUEST_LV_0200_20150317_000078	아, 이제야 명령서가 왔군요.{nl}지휘관 줄리안님께 돌아가 보십시오. 
QUEST_LV_0200_20150317_000079	난 아이언바움에 대한 정보를 모으고 있겠네.{nl}대왕의 관문으로 가는 길을 뚫으려면 이 놈을 퇴치하는 게 우선순위지.
QUEST_LV_0200_20150317_000080	그래 말해주니 정말 고맙군.{nl}자이즈다 언덕에 있는 폴터에게 이 명령서를 가져다주고 다시 돌아오게.
QUEST_LV_0200_20150317_000081	예전이 정말 그리워요.{nl}가시나무같은 건 없었거든요.
QUEST_LV_0200_20150317_000082	대왕의 관문까지 가는 길이 안전해지만 사람들도 많이 구경할 수 있겠지요.{nl}
QUEST_LV_0200_20150317_000083	너무 오랫동안 많은 것을 보아왔어요.{nl}이젠 즐거운 것만 보고 싶네요.
QUEST_LV_0200_20150317_000084	인간의 영혼은 왜 그리 많은 것을 품고 있을까요?
QUEST_LV_0200_20150317_000085	이러다 몬스터라도 잔뜩 나타나면 답이 없을 겁니다.
QUEST_LV_0200_20150317_000086	저흰 대왕의 관문까지 길을 뚫는 작업을 하고 있습니다.{nl}아이언바움은 어떻게 됐는지 혹시 들은 것 있으신가요?
QUEST_LV_0200_20150317_000087	한 무리에서 지도자가 되려면 흔들리지 않는 원칙을 가져야 하지.
QUEST_LV_0200_20150317_000088	대왕의 관문까지 길을 뚫는 게 무모한 건 사실이지.{nl}그렇다고 해서 명령에 불복할 순 없어.
QUEST_LV_0200_20150317_000089	사이는 나빠 보이지만, 두 지휘관님은 의외로 호흡이 잘 맞아요. 
QUEST_LV_0200_20150317_000090	아무도 없으니 너무 외로워요.{nl}사람은 정말 오랜만이네요.
QUEST_LV_0200_20150317_000091	아무도 없는 숲에 무슨 일이세요?{nl}설마, 다시 길이 뚫렸나요?
QUEST_LV_0200_20150317_000092	감사해요.{nl}병사들도, 제 동료들도 편히 잠들 수 있을 거에요.
QUEST_LV_0200_20150317_000093	팔과 다리에 감각이 없어.{nl}추운 것도 아닌데 기분이 이상해.
QUEST_LV_0200_20150317_000094	가이갈라스를 반드시 무찔러야 한다.{nl}그렇지 않으면 너무 화가 나서 잘 수도 없을 거야.
QUEST_LV_0200_20150317_000095	곧 가이갈라스 사냥을 시작할거야.{nl}흥분되는군.
QUEST_LV_0200_20150317_000096	원한이란 건 너무 슬퍼요.{nl}보고만 있어야 하는 것도 너무 슬퍼요.
QUEST_LV_0200_20150317_000097	사악한 존재들이 날뛰는 한 희생은 계속되겠지요.
QUEST_LV_0200_20150317_000098	합동조사단 프레이
QUEST_LV_0200_20150317_000099	난 프레이라고 해.{nl}이야길 들어보니 어째.. 상황이 좀 안 좋은가 보네?{nl}스캇과 네가 조사한 내용이 그렇다면야..
QUEST_LV_0200_20150317_000100	{nl}나도 그럼 이쪽에서 뭐라도 해야겠지.{nl}우선은 붉은 부베 약탈자를 좀 처리해 줘. 거슬리기 짝이 없거든.
QUEST_LV_0200_20150317_000101	그럼 부탁할게!{nl}저 붉은색만 봐도 이젠 정말 진절머리가 나.
QUEST_LV_0200_20150317_000102	어머, 진짜 날 위해 힘써준 거야?{nl}고맙기도 해라!
QUEST_LV_0200_20150317_000103	스캇이 전해 준 이야길 듣고 생각 난 건데 말야.{nl}우드맨이라고 살아 움직이는 나뭇조각 같은 게 있거든.{nl}아무래도 부베가 가지고 있었다는 나무껍질이랑 관련이 있는 걸까?
QUEST_LV_0200_20150317_000104	그나저나 스캇이 2차 보고서를 보내 준다고 했는데 아직도 소식이 없네.{nl}우리 귀여운 스캇에게 무슨 일이라도 생긴 걸까? 흐음..
QUEST_LV_0200_20150317_000105	와아, 대단한걸?{nl}이걸로 내가 빚을 졌네. 고마워!
QUEST_LV_0200_20150317_000106	역시 그렇지? 그럼 네게 부탁할게.{nl}우드맨은 왼쪽 길을 따라가면 나오는 사슴발굽 공터 쪽에서 나타나고 있어.
QUEST_LV_0200_20150317_000107	이 파편이랑 스캇의 자료를 조합한 결과를 선배에게 전해야겠어.{nl}그런데 우리 스캇이 문서로 된 보고서를 준다고 한 지가 훠얼씬 지났는데 아직도 소식이 없네?{nl}전해 들은 이야기만으로는 다른 조사단원에게 신빙성이 떨어지지 않겠어?{nl}
QUEST_LV_0200_20150317_000108	네가 스캇에게 보고서 좀 받아와 줄 수 있을까?{nl}농땡이 중이면 흠씬 혼내 주는 거 잊지 말고!
QUEST_LV_0200_20150317_000109	우리 스캇의 보고서를 부탁해. 알았지?{nl}가끔 맹한 구석이 있어서 답답하지만 그게 또 귀엽거든.
QUEST_LV_0200_20150317_000110	면목이 없네. 요즘 이것저것 조사한다고 여기저기 들쑤시고 다녔더니..{nl}정말 고마워.  네가 아니었으면 아마 지금쯤.. {nl}아휴, 생각하기도 싫군.{nl}
QUEST_LV_0200_20150317_000111	아차, 이럴 때가 아니지.{nl}미안한데 이 연구 자료 좀 프레이한테 대신 전해 줘.{nl}부베들이 난리 쳐 놓은 것들을 다 정리해야 하는데 어디서부터 시작해야 할지..
QUEST_LV_0200_20150317_000112	아, 보고서구나! {nl}그래. 스캇은 뭐 하고 있었대?{nl}
QUEST_LV_0200_20150317_000113	그래? 부베 하나 제대로 처리하지도 못하고 쩔쩔매고 있었단 말이지?{nl}이거 참 부끄럽게.. 나중에 내가 한마디 해야겠어!
QUEST_LV_0200_20150317_000114	전부 다 엉망이야 엉망. {nl}저놈의 부베들 때문에 집중할 수가 없어.{nl}이 꼴을 프레이가 본다면 분명히 비웃겠지?
QUEST_LV_0200_20150317_000115	합동조사단프레이
QUEST_LV_0200_20150317_000116	사건의 실체를 파악하려면 아직 멀었어. 아직도 할 일이 쌓여있다고.{nl}자. 이거 받아. 영혼수집 스크롤이야.{nl}
QUEST_LV_0200_20150317_000117	붉은 부베 궁수에 이 스크롤을 사용한 뒤 처치하면 정신체만 쏙 빠져나오거든?{nl}그걸 모아서 갖다 줘. 그러면 얼추 자료들이 정리될 것 같아.
QUEST_LV_0200_20150317_000118	순서 까먹지 마.{nl}붉은 부베 궁수에게 영혼수집 스크롤 먼저 사용한 뒤에 처치하는 거야. 알겠지?
QUEST_LV_0200_20150317_000119	부베들이 지녔다던 나무껍질 말이야.{nl}뭔가 영적인 것으로 결합할 수 있는 거 같아..{nl}음, 이 이야기를 유커트에게 전해 줘.
QUEST_LV_0200_20150317_000120	합동조사단 유커트
QUEST_LV_0200_20150317_000121	프레이와 스캇이 열심히도 뛰어 줬군. 네가 보기엔 어때? {nl}난 이런 걸 부베들이 만들 수 있을 리 없다고 생각해.{nl}이 나무껍질로 무엇을 하려는지 천천히 조사해 봐야겠어.{nl}
QUEST_LV_0200_20150317_000122	아마 예전에 병사들이 남겨 두고 간 보급품 상자 안에 뭔가 있을지도 몰라.{nl}저 위쪽으로 가면 오래된 보급품 상자들이 있어.{nl}한 번 가 봐 줄래? 거기서 얻은 단서들까지 합하면 뭔가 그럴싸한 결론이 날 것 같아.
QUEST_LV_0200_20150317_000123	왔던 길을 조금 되돌아가 보면 언덕 위에 감시탑이 있을 거야.{nl}아직 몬스터가 손대지 않았으면 좋겠는데..
QUEST_LV_0200_20150317_000124	정말 이놈들이 무언가 꾸미고 있는 걸까?{nl}이거이거.. 냄새가 나, 냄새가..
QUEST_LV_0200_20150317_000125	부베들이 보급품 상자를 부수고 이걸 들고 도망갔었다고?{nl}왜지? 설마 이놈들이 진짜 그걸 만들고 있었던 건가?{nl}아니야, 에이 설마, 부베들은 그럴만한 지능이 없어.{nl}
QUEST_LV_0200_20150317_000126	좋아! 정신 차리고 확실히 파헤치는 거야!
QUEST_LV_0200_20150317_000127	좋아. 각오는 되어 있겠지?{nl}
QUEST_LV_0200_20150317_000128	네가 오기 전에 부베들이 여기저기로 우르르 몰려가는 걸 봤어.{nl}게베네 절벽으로 가서 동태를 살피고 와줘. 
QUEST_LV_0200_20150317_000129	여기서 일어난 일들의 끝에는 언제나 부베가 있었어.{nl}우연치곤 아주 완벽한 이야기지..
QUEST_LV_0200_20150317_000130	이런, 설마.. 드디어 모든 게 다 짜 맞춰지는군. {nl}그건 아마 우드스피릿이라는 거대 몬스터를 만들어 내는 공장 같은 거였을지도 모르겠어.{nl}
QUEST_LV_0200_20150317_000131	부베들의 깃발이 유령을 불러들였겠지.{nl}그렇게 모인 유령들이 나무를 오염시켜 거대 몬스터를 만들었던 거고.{nl}
QUEST_LV_0200_20150317_000132	그 나무껍질은 분명 우드스피릿을 만드는 재료였을 거야.{nl}이건 절대로 부베들이 저지를 수준이 아니라고.{nl}누군가의 사주를 받은 분명해!
QUEST_LV_0200_20150317_000133	부베들이 몰려 있는 곳에서 뭔가 결정적인걸 발견할 수 있을지도 몰라.{nl}프레이가 보면 좋다고 할 광경이겠군!
QUEST_LV_0200_20150317_000134	부베들은 똑똑하지 못하니까 아마 아주 간단한 명령만 내렸을 거야.{nl}부베를 부려 먹을 생각을 하다니.. {nl}진짜 난 어이가 없어서 말도 안 나온다. {nl}
QUEST_LV_0200_20150317_000135	우드스피릿은 분명 여러 곳에서 만들어지는 거 같아.{nl}사악한 기운이 몰리는 게 느껴지거든. {nl}우드스피릿을 만들어내는 깃발이라도 빨리 부숴야겠어!
QUEST_LV_0200_20150317_000136	준비가 끝나는 대로 바로 출발해. {nl}지금은 우드스피릿을 더 이상 만들지 못하도록 막는 게 급선무니까..
QUEST_LV_0200_20150317_000137	우선 급한 불은 끈 것 같아. {nl}이미 만들어진 건 어쩔 수 없지만..
QUEST_LV_0200_20150317_000138	여기서 가장 가까운 깃발은 갓베스 가도 근처에서 느껴져.{nl}사람들이 목격했다는 거대한 나무 같은 건 아마 우드스피릿을 말한 거겠지.{nl}이런 간단한 걸 짚어내지도 못하다니, 나도 아직 멀었군.
QUEST_LV_0200_20150317_000139	성실한 대장 부엉이 조각상
QUEST_LV_0200_20150317_000140	정말 고맙습니다. {nl}당신 덕분에 다른 부엉이들도 용기를 얻었을 겁니다.
QUEST_LV_0200_20150317_000141	약해진 부엉이 조각상
QUEST_LV_0200_20150317_000142	이미 늦고 말았군요.{nl}여신께선 참 가혹하세요.
QUEST_LV_0200_20150317_000143	마지막 부탁이 있어요. {nl}떠나간 부엉이들을 불태워 편히 보내 주실 수 있을까요?
QUEST_LV_0200_20150317_000144	제 동료들이 아우슈리네 여신께 무사히 닿을 수 있을까요?
QUEST_LV_0200_20150317_000145	정말 감사합니다.{nl}먼저 뉴오더 벌판으로 가는 길에 있는 기름 상자를 가져다 주세요.
QUEST_LV_0200_20150317_000146	괜찮다면 자네 힘을 좀 더 빌리고 싶네.{nl}전령을 보냈었는데 아까의 습격으로 왠지 걱정되거든.{nl}
QUEST_LV_0200_20150317_000147	전령이 무사해야 할 텐데.. 걱정이군.
QUEST_LV_0200_20150317_000148	정말 고맙군.{nl}지금쯤이면 우는 자리쯤에 있을 거야.
QUEST_LV_0200_20150317_000149	몬스터에게 빼앗긴 카틴 숲을 다시 되찾기 위해 병력이 배치되어 있네.{nl}여기 카틴 숲 입구는 그나마 안전한 편이지만 다른 곳은 아직도 수복 중이지.{nl}
QUEST_LV_0200_20150317_000150	게다가 깊숙히 들어갈 수록 병력도 부족하고 보급도 열악하다고 들었다.{nl}자네처럼 이름있는 이들이 그들을 도와준다면 필히 큰 힘이 될 거야.{nl}
QUEST_LV_0200_20150317_000151	쓰러진 전령
QUEST_LV_0200_20150317_000152	카틴 숲 입구가 안정되었다고 해서 방심한 제가 잘못입니다.{nl}조금만 쉬고, 캠프로 돌아갈 겁니다.
QUEST_LV_0200_20150317_000153	앗, 이건 제 가방.. 구해주셔서 정말 감사합니다.{nl}
QUEST_LV_0200_20150317_000154	염치없게도, 지금 절 도와 줄 수 있는 사람은 당신뿐이군요.{nl}펠례다 사거리의 필릭스님께 작전이 시작되었다고만 전해 주실 수 있을까요?{nl}{nl}
QUEST_LV_0200_20150317_000155	카틴 숲에는 다른 숲에서 볼 수 없는 것들이 많소.{nl}나무로 깎은 부엉이 상이라던가 하는 것들 말이오.
QUEST_LV_0200_20150317_000156	작전? 거 참. 미련한 전령일세.{nl}캠프에서 다시 전해 받으면 될 것을.. 여튼 고맙소.{nl}
QUEST_LV_0200_20150317_000157	참, 돌아가는 길이 어두우니 꺼진 모닥불을 다시 켜 주면 정말 고맙겠어.
QUEST_LV_0200_20150317_000158	카틴 숲은 나무가 너무 울창해서 햇빛이 잘 안 들어.{nl}마치 유령이라도 나올 것 같지.
QUEST_LV_0200_20150317_000159	그래, 전령은 무사하던가?{nl}자네 덕분에 이쪽도 잘 정리되었네.
QUEST_LV_0200_20150317_000160	전 여기서 좀 더 쉬어야겠습니다.{nl}어디 적당히 숨을 데 없을까.
QUEST_LV_0200_20150317_000161	살티스터가 여기까지 기어들어 오다니, 나중에 경계 책임자를 불러 문책해야겠어.{nl}어쨌든 고맙네. 역시 명성대로더군.{nl}
QUEST_LV_0200_20150317_000162	경비병 라일
QUEST_LV_0200_20150317_000163	얼마 전 많은 동료들을 석화서리에 잃었습니다.{nl}그럼에도 골방에서 갓 나온 크로노맨서 한 명 지원하자고 이런 곳에 있다니.. 이런 비효율이 어딨습니까?{nl}게다가 사나운 몬스터들은 언제 돌변해서 여길 공격할지 모를 일입니다.
QUEST_LV_0200_20150317_000164	당신이 괜찮다면 우리가 이곳을 지킬 동안 주변 몬스터들을 처치해주실 수 있겠습니까?
QUEST_LV_0200_20150317_000165	이런 시대에 저런 막무가내 여자를 돌봐줘야 한다는 건 불행한 일입니다.
QUEST_LV_0200_20150317_000166	고맙습니다. 당분간 안전하게 있을 수 있겠군요.
QUEST_LV_0200_20150317_000167	여기 불과 몇 주 전에 석화서리에 당한 우리 전우들이 있습니다.{nl}세상이 이렇게 된 이후론 지원도 제대로 오지 않아서 방치하고 기다릴 수 밖에 없지요.{nl}그러는 와중 몬스터들이 석화된 피해자들을 공격하고 있습니다. 저주받을 녀석들!
QUEST_LV_0200_20150317_000168	아직 남아있는 돌이된 동료들이 있다면 곁에서 잠시만 지켜주실 수 있겠습니까?
QUEST_LV_0200_20150317_000169	그 피해자들 중엔 제 오랜 친구 갈렌도 있습니다.{nl}부디 지켜주세요.
QUEST_LV_0200_20150317_000170	정말 고맙습니다. 지원이 빨리와서 저런 모습이나마 가족들에게 돌아갈 수 있길 바랍니다.
QUEST_LV_0200_20150317_000171	루클리스 거리엔 이름만큼이나 저주받을 문건들과 아직 청소되지 않은 물건들이 많습니다.{nl}그걸 노리고 이 도시에 몰려드는 도굴꾼 녀석들도 많죠.{nl}그 중 무리를 이룬 디코 도굴단 녀석들은 단체로 경비병들을 공격하는 일도 다반삽니다.
QUEST_LV_0200_20150317_000172	군사 지구에서 녀석들을 제압해주실 수 있겠습니까?{nl}제압해 두시면 저희가 가서 압송하겠습니다.
QUEST_LV_0200_20150317_000173	저번에 잡혀온 녀석은 석상들이 말을 건다고 하더군요.{nl}구차한 변명 아닙니까?
QUEST_LV_0200_20150317_000174	당신 덕에 도굴꾼녀석들을 많이 연행할 수 있겠습니다.{nl}감사합니다.
QUEST_LV_0200_20150317_000175	경비병 노마비스
QUEST_LV_0200_20150317_000176	며칠 전 우리 보급품을 디코 도굴단 녀석들에게 도둑맞았습니다.{nl}드라사 예배소 폐허로 가져간 게 분명한데 여길 비워둘 순 없으니 이러다 굶어죽게 생겼군요.
QUEST_LV_0200_20150317_000177	당신이 도둑맞은 보급품을 되찾아 주시지 않겠습니까?
QUEST_LV_0200_20150317_000178	수 십년 전엔 도굴꾼들이 경비초소를 습격하거나 몰래 보급품을 빼돌려서 공황상태가 온 적도 있습니다.
QUEST_LV_0200_20150317_000179	녀석들 앞에서 우릴 꾀어내곤 뒤에서 물건을 털어가니 어찌할 방법이 없습니다.{nl}자기들이 합법적으로 물건을 가져갈 수 있도록 해달라고 요구해서 교수대에 보내졌습니다.
QUEST_LV_0200_20150317_000180	디코 도굴단 녀석들 점점 규모가 커지고 있어서 걱정입니다.{nl}몬스터들을 길들이기라도 하는 건지 아니면 뭔가 다른게 있는 건지 친하게 지내더군요.{nl}칼리스 기사단이 얼마 전에 공격당했다는 이야기를 들었습니다.{nl}어쩌면 사비나님을 노리고 있을지도 모르지요. 그 여자 주머니마다 값나가는 것들을 들고 다니니..
QUEST_LV_0200_20150317_000181	위험을 원천 차단하기 위해선 녀석들이 움직이기 전에 치는 수 밖에 없습니다.{nl}드라사 예배소 폐허로 가서 녀석들을 처치해 주십시오.
QUEST_LV_0200_20150317_000182	수백년 전 멸망해 버린 도시는 지켜야할 재산도 인명도 없지요.{nl}오히려 유적지를 지키는 느낌입니다. 남사스럽습니다만 마침 도굴꾼도 있구요.
QUEST_LV_0200_20150317_000183	녀석들 버릇을 단단히 고쳐주셨군요. 고생하셨습니다.
QUEST_LV_0200_20150317_000184	몇 주 전, 이 도시에서 근무하던 동료들이 석화서리에 당해 지금은 광장에 우두커니 석상이 되어있습니다. {nl}석화서리에 당한 이유는 도굴꾼 녀석들의 함정을 제거하는 임무를 수행하다 미쳐 피하지 못 했기 때문이지요.{nl}지금도 함정들이 널려있습니다. 그 중 하나를 최근 찾았는데 그걸 좀 처리해 주실 수 있겠습니까?
QUEST_LV_0200_20150317_000185	디코 도굴단은 어쩌면 경비병 보다 수가 많을지도 모르겠습니다.
QUEST_LV_0200_20150317_000186	녀석들 외부에서 몬스터들을 잡아왔군요. 위험에 쳐하게 만들어서 미안합니다.
QUEST_LV_0200_20150317_000187	크로노맨서 사비나
QUEST_LV_0200_20150317_000188	이 곳에서 많은 일이 있었지만 일어난지 너무 오래되서 진실을 알아내려면 더 많은 정보가 필요합니다.{nl}무너져내린 개선문 주변에서 남아있는 기록물들을 찾아서 그 내용을 탁본해 줄 수 있겠습니까?
QUEST_LV_0200_20150317_000189	시간의 거친 흐름 속에 모든게 부스러져 가는 군요.
QUEST_LV_0200_20150317_000190	고맙습니다. 내용을 보니 요새 몰락 당시의 내용이군요.{nl}결정적인 내용은 더 찾아봐야겠습니다.
QUEST_LV_0200_20150317_000191	여기서 여러 실험을 하는 중이지만 몬스터들 때문에 좀 더 과거의 일을 찾기 힘듭니다.{nl}제 대신 과거를 엿보고 오실 수 있겠습니까?
QUEST_LV_0200_20150317_000192	페르겔레 대로 주변에서 이 시간의 돋보기를 사용하세요. 그럼 과거의 영상을 돌아볼 수 있을 겁니다.
QUEST_LV_0200_20150317_000193	곱게 쓰고 돌려주세요. 하나 밖에 없는 귀한 물건입니다.
QUEST_LV_0200_20150317_000194	도대체 무슨 일이 있던걸까요? 오늘 여기서 본 것들은 밖에서 이야기 하시면 안 됩니다.
QUEST_LV_0200_20150317_000195	좀 더 자세한 사정을 알아보려면 결국 루클리스의 본거지인 대지의 요새에 갈 수 밖에 없군요.{nl}하지만 왕국군이 출입을 재한하는 바람에 들어갈 수 없습니다.{nl}좋은 방법이 하나 있습니다만..
